DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200530002|1666|06:05:00|06:34:00|Larido|2|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200530002|1666|06:05:00|06:34:00|S.CROCE DEL BLEGGIO|2|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200530002|1666|06:05:00|06:34:00|Sesto bivio|1|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Balbido|3|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|BIVEDO/LARIDO/MARAZZONE|5|1|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Cares|4|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|CAVRASTO|3|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Cavrasto ITEA|2|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Comighello|2|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Larido|1|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Marazzone|4|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Rango|6|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|S.CROCE DEL BLEGGIO|9|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Sesto bivio|7|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200550002|1666|07:00:00|07:29:00|Villa di Bleggio|3|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|B200570001|1643|13:25:00|13:39:00|S.CROCE DEL BLEGGIO|4|0|0|0|0|0|0
07-10-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche - Bivedo|B200580002|1643|12:56:00|13:25:00|BIVEDO/LARIDO/MARAZZONE|0|1|0|0|0|0|0
