DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|ARTEN|13|0|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Busarel|1|0|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|FIERA DI PRIMIERO|4|4|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Fonzaso|0|1|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|IMER|3|0|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Masi Imer/S.Silvestro|0|1|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Mezzano|1|0|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Ponte Serra|1|0|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|Siror|1|3|0|0|0|0|0
08-10-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino di C. - Trento|B5005505|1694|16:10:00|17:56:00|S.MARTINO DI CASTROZZA|1|0|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B5007701|1705|08:15:00|09:06:00|ARTEN|11|1|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B5007701|1705|08:15:00|09:06:00|FELTRE (Staz. FS)|1|0|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50083|1663|15:45:00|16:01:00|FELTRE|0|3|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50083|1663|15:45:00|16:01:00|Feltre (Gel. La Zuecca)|1|0|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50083|1663|15:45:00|16:01:00|FELTRE (Ospedale)|4|0|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50083|1663|15:45:00|16:01:00|FELTRE (Staz. FS)|7|0|0|0|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B50083|1964|16:01:00|16:36:00|ARTEN|15|1|0|2|0|0|0
08-10-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|B5008501|1663|17:00:00|17:16:00|FELTRE|0|3|0|0|0|0|0
