DATA|LINEA|VARIANTE|CORSA|BUS|ORA_PARTENZA|ORA_ARRIVO|SALITA|ABBONAMENTO|ACQUISTO_BORDO|ACQUISTO_TERRA|CARTA_SCALARE|CHIP_ON_PAPER|MOBILE_TICKETING|PRESTAMPATO
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103960005|1708|16:04:00|16:44:00|Masi di Cavalese|2|0|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103960005|1708|16:04:00|16:44:00|Tesero/Lago|0|3|0|0|0|0|0
10-08-2017|Alpe Pampeago-Cavalese                                                                              |Cavalese-Masi-Pampeago|E103980006|1133|19:00:00|19:30:00|CAVALESE|1|0|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302910102|1585|06:15:00|06:36:00|BRENTONICO/Crosano/Castione|0|1|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302910102|1585|06:15:00|06:36:00|Crosano II|1|0|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302930301|1579|13:35:00|14:01:00|BRENTONICO/Crosano/Castione|0|1|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302930301|1579|13:35:00|14:01:00|Cazzano|2|0|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302930301|1579|13:35:00|14:01:00|Crosano|1|0|0|0|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè -Cazzano -Besagno|E302930301|1579|13:35:00|14:01:00|Crosano II|0|0|0|2|0|0|0
10-08-2017|Besagno-Crosano-Cornè-Saccone                                                                       |Cornè-Cave-Saccone|E305450101|1579|07:45:00|08:00:00|CORNE'|1|1|0|0|0|0|0
10-08-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|E200550002|1859|07:00:00|07:29:00|Comighello|1|0|0|0|0|0|0
10-08-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|E200550002|1859|07:00:00|07:29:00|S.CROCE DEL BLEGGIO|0|1|0|0|0|0|0
10-08-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|E200570101|1618|13:24:00|13:38:00|BIVEDO/LARIDO/MARAZZONE|1|2|0|0|0|0|0
10-08-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Bivedo - Ponte Arche|E200570101|1618|13:24:00|13:38:00|S.CROCE DEL BLEGGIO|1|0|0|0|0|0|0
10-08-2017|Bivedo-Cavrasto-S.Croce-Ponte Arche                                                                 |Ponte Arche - Bivedo|E200600002|3632|18:35:00|19:04:00|PONTE ARCHE/Comano Terme|5|0|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|FIERA DI PRIMIERO|0|0|3|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|IMER|0|1|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|Impianti Tognola|1|0|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|Masi Imer/S.Silvestro|1|0|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|Mezzano|0|3|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|Ponte Mirabello|1|0|0|0|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|Siror|0|0|0|1|0|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|S.MARTINO DI CASTROZZA|3|10|0|0|3|0|0
10-08-2017|(Borgo) Arten-Fiera di P.-S.Martino di Castrozza                                                    |S.Martino-Trento|E500550310|1685|16:10:00|17:20:00|S.Martino di C.(H.Cristallo)|5|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|E400580002|1450|06:50:00|07:10:00|BORGO VALSUGANA|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|E400720001|1450|14:25:00|14:45:00|BORGO VALSUGANA|2|1|0|1|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|E400760001|1721|19:05:00|19:25:00|BORGO VALS.(Ospedale)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo - Telve - Torcegno|E400760001|1721|19:05:00|19:25:00|BORGO VALSUGANA|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400660001|1786|10:50:00|11:15:00|BORGO VALS.(Ospedale)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400660001|1786|10:50:00|11:15:00|BORGO VALSUGANA|0|0|1|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400680004|1571|12:35:00|13:00:00|BORGO VALSUGANA|0|0|0|1|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400680004|1571|12:35:00|13:00:00|Telve|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400740004|3612|17:20:00|17:45:00|BORGO VALS.(Ospedale)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Borgo -Telve -Torcegno|E400740004|3612|17:20:00|17:45:00|BORGO VALSUGANA|4|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Vals.|E400570003|1546|06:00:00|06:25:00|BORGO VALS.(Ospedale)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Vals.|E400570003|1546|06:00:00|06:25:00|BORGO VALSUGANA|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Vals.|E400570003|1546|06:00:00|06:25:00|Telve|3|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Vals.|E400570003|1546|06:00:00|06:25:00|Telve di Sopra|2|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400610002|1450|07:15:00|07:40:00|Telve|2|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400610002|1450|07:15:00|07:40:00|Telve di Sopra|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400610002|1450|07:15:00|07:40:00|TORCEGNO|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400630003|1450|08:20:00|08:45:00|Campestrini|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400630003|1450|08:20:00|08:45:00|Ponte S.Giovanni|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400630003|1450|08:20:00|08:45:00|Telve|3|0|0|1|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400630003|1450|08:20:00|08:45:00|Telve di Sopra|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400630003|1450|08:20:00|08:45:00|TORCEGNO|0|2|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400710003|1571|13:20:00|13:45:00|Telve|5|18|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400710003|1571|13:20:00|13:45:00|Telve di Sopra|0|1|0|1|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400710003|1571|13:20:00|13:45:00|TORCEGNO|1|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400730002|1450|14:45:00|15:05:00|Telve|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400750003|3612|17:50:00|18:10:00|Telve|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana - Telve - Torcegno                                                                  |Torcegno-Borgo Valsugana|E400750003|3612|17:50:00|18:10:00|TORCEGNO|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E5003702|1663|13:05:00|13:21:00|FELTRE (Staz. FS)|2|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50077|1705|08:15:00|09:06:00|ARTEN|1|0|0|1|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50077|1705|08:15:00|09:06:00|FELTRE|0|0|1|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50077|1705|08:15:00|09:06:00|FELTRE (Ospedale)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50079|1778|10:25:00|11:16:00|FELTRE|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50085|1663|17:00:00|17:16:00|FELTRE|0|2|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50085|1663|17:00:00|17:16:00|FELTRE (Staz. FS)|4|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre - Trento|E50085|1685|17:21:00|17:56:00|ARTEN|4|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|07:15:00|08:06:00|ARTEN|3|4|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|07:15:00|08:06:00|FELTRE|0|1|1|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|07:15:00|08:06:00|Feltre (Gel. La Zuecca)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|07:15:00|08:06:00|FELTRE (Staz. FS)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|08:06:00|09:01:00|BORGO VALSUGANA|8|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|08:06:00|09:01:00|LEVICO TERME|1|3|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|08:06:00|09:01:00|PERGINE V. (P.Gavazzi)|4|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Feltre -Trento|E500750001|1993|08:06:00|09:01:00|PERGINE VALSUGANA|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Agnedo|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Belvedere di Grigno|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|BORGO VALS. (Valli)|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Grigno|2|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Ospedaletto|0|2|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Serafini|0|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|TEZZE DI GRIGNO|0|0|0|1|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401630004|1630|06:30:00|07:15:00|Tezze Via Nazionale|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Primolano - Tezze - Borgo|E401950005|1622|13:30:00|14:15:00|Strigno F.S./Villa|1|0|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500460106|1705|09:20:00|10:11:00|BORGO VALSUGANA|1|0|0|0|1|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500480107|1663|14:15:00|15:08:00|BORGO VALSUGANA|4|1|0|0|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500500107|1993|16:10:00|16:59:00|LEVICO TERME|1|0|0|1|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500500107|1993|16:10:00|16:59:00|TRENTO|20|2|0|3|0|0|0
10-08-2017|Borgo Valsugana-Arten-Feltre                                                                        |Trento - Feltre|E500500107|1993|16:10:00|16:59:00|Trento (Port'Aquila)|9|0|0|0|0|0|0
