Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
9;30000600;SP 6;di Rumo;0;11,882;S.S. 42 km 191,590 Scanna;Confine Provincia di Bolzano;C
10;30000700;SP 7;di Coredo;0;7,632;S.S. 43 dir km 0,670;Sfruz;C
11;30000800;SP 8;della Valle dei Mocheni;0;15,49;Pergine incrocio S.P. 66;Palù del Fersina;C
12;30000900;SP 9;di Luserna;0;11,75;Monterovere - SS 349;Passo Vezzena - SS 349;C
13;30001000;SP 10;delle Quattro Ville;0;6,971;da SS 43 km 9,600;Tuenno si innesta su S.P. 73 km 14,431;C
14;30001001;SP 10 dir Portolo;delle Quattro Ville diramazione Portolo;0;1,977;centro abitato Nanno km 3,640;Portolo;C
15;30001100;SP 11;di Vetriolo;0;13,849;Levico Terme;Vetriolo;C
16;30001200;SP 12;di Vignola;0;15,176;Assizzi - SP 228;Panarotta;C
17;30001300;SP 13;della Predaia;0;15,068;S.S. 43 km 15,550 Mollaro;S.S. 43 km 12,040 Taio;C
289;30001301;SP 13 dir Dardine;della Predaia diramazione Dardine;0;1,543;;;C
290;30001302;SP 13 dir Vervò;della Predaia diramazione Vervò;0;9,161;SP 13 ;SFRUZ;C
18;30001400;SP 14;del Lago di Tovel;0;10,713;S.P. n. 73  Tuenno;Tovel;C
19;30001600;SP 16;del Colle di Tenna;0;6,679;S. Cristoforo - SS. 47;Levico - SP 1;C
20;30001700;SP 17;di Civezzano;0;3,36;bivio tornante dopo ab. Cognola;incrocio con S.P. n. 83;C
21;30001800;SP 18;dei Laghi di Terlago e Lamar;0;8,593;si stacca dalla SS 45;Lago Santo di Lamar;C
22;30001801;SP 18 dir Vezzano;dei Laghi di Terlago e Lamar diramazione Vezzano;0;4,391;;;C
23;30001802;SP 18 dir Lon;dei Laghi di Terlago e Lamar diramazione Lon e Vezzano;0;3,345;;;C
24;30001803;SP 18 dir Ranzo;dei Laghi di Terlago e Lamar diramazione Lon e Ranzo;0;6,38;;;C
321;30001804;SP 18 dir Margone;di Lamar-Vezzano dir Margone;0;1,6;km 3,2 sp 18 dir Lon;Margone;C
25;30001900;SP 19;di Ruffrè;0;3,68;S.S. 42 km 215,660;S.S. 42 km 219,660;C
26;30002000;SP 20;del Lago di Cei;0;18,211;Villa Lagarina (bivio S.P. 90 Km 7,000);bivio con S.P. 25;C
27;30002100;SP 21;Mattarello - Aldeno;0;3,445;ponte sul fiume Adige bivio con S.P. 131;località Aldeno intersezione con S.P. 90 II° tronco;C
28;30002200;SP 22;Chizzola - Brentonico;0;7,678;Chizzola;Brentonico S.P. 3 Km 8,532;C
29;30002201;SP 22 dir;Chizzola - Brentonico diramazione Prada Saccone;0;5,241;S.P. 22 Km 2,698;S.P. 218 Km 3,535 (Prada);C
