Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
167;30013102;SP 131 2°tronco;del Vino 2° tronco (da Maso Bolleri a Montevaccino);0;4,498;;;C
168;30013103;SP 131 5°tronco;del Vino 5° tronco (da Mattarello a Romagnano);0;1,238;;;C
338;30013200;SP 132;z.a. Caldonazzo;0;0,565;SP 8;SP 133;C
169;30013300;SP 133;di Monterovere;0;11,237;Caldonazzo S.P. 1;Monterovere SS 349;C
170;30013301;SP 133 dir;di Monterovere diramazione di Levico;0;4,089;Levico S.P. 228;Bivio Pegolara SP. 133;C
314;30013302;SP 133 dir sv SS 47;di Monterovere diramazione svincoli SS 47;0;0,898;;;C
329;30013400;SP 134 ;Destra Centa;0;2,586;SP 133;SP 133 DIR;C
171;30013500;SP 135;Sinistra Fersina;0;12,68;Canezza;Palù del Fersina;C
172;30013800;SP 138;della Borcola;0;9,95;Piazza di Terragnolo (bivio S.P. 2 Km 12,482);Passo Borcola (confine Vicenza);C
173;30013900;SP 139;del Castellaz;0;2,614;S.S. 43 al km 3,750;S.S. 42 al km 194,290;C
174;30014000;SP 140;Ortisè - Menas;0;6,375;Claiano;Menas;C
175;30014100;SP 141;di Bolentina;0;5,207;Malè;Bolentina;C
304;30014101;SP 141 dir Montes;di Bolentino diramazione Montes;0;0,838;;;C
176;30014200;SP 142;dei Fiorentini;0;9,695;Passo Sommo (bivio S.S. 350 Km 15,950);confine Vicenza;C
177;30014300;SP 143;dei Francolini;0;9,558;Folgaria (bivio S.P. 2 Km 24,020);confine Vicenza;C
178;30014301;SP 143 dir;dei Francolini diramazione Fondo Grande;0;0,455;bivio S.P. 143 Km 2,900;Fondo Grande;C
179;30020100;SP 201;di Malè;0;3,54;Terzolas;Croviana;C
180;30020200;SP 202;di Ossana;0;1,592;Cusiano;Fucine;C
181;30020300;SP 203;del Rinassico;0;3,744;S.S. 43 al km 21,300;Toss di Ton;C
182;30020301;SP 203 dir;del Rinassico diramazione Vigo;0;0,672;;;C
183;30020400;SP 204;Villazzano - Ponte Lodovico - S.S. 47;0;5,72;Villazzano;incrocio con S.S. 47;C
184;30020600;SP 206;di Marilleva;0,72;9,794;Mezzana;Marilleva 1400;C
185;30020800;SP 208;Avio - San Valentino;0;16,215;Avio S.P. 90 km 4,094;S.P. 3 Km 17,770 S. Valentino;C
186;30021100;SP 211;dei Monti Lessini;0;13,539;Sdruzzinà km 334,789 della S.S. 12;Sega di Ala confine Provincia di Verona;C
187;30021200;SP 212;della Roa;0;8,789;Incrocio con S.P. n. 79 al km 41,829;Confine provincia di Belluno;C
188;30021300;SP 213;del Lomaso;0;6,609;Ponte Arche S.S 237 al km 99.380;Vigo Lomaso;C
189;30021301;SP 213 dir Comano;del Lomaso diramazione Comano;0;1,4;Poia  al km 2.620;centro abitato Comano;C
190;30021302;SP 213 dir Lundo;del Lomaso diramazione Lundo;0;1,495;al km 4.390;centro abitato Lundo;C
191;30021400;SP 214;del Lago di Cavedine;0;9,513;;;C
193;30021401;SP 214 dir;del Lago di Cavedine diramazione Pietramurata;0;1,495;;;C
194;30021500;SP 215;di Pampeago;0;9,97;Tesero - si stacca dalla S.S. 48 al km 28,688;confine con la Provincia di Bolzano;C
195;30021501;SP 215 dir;di Pampeago diramazione Lavazè;0;3,208;S.S. 220 del Passo Lavazzè al km 15,950;;C
196;30021600;SP 216;Cappella - Dazio;0;4,598;Lavarone Cappella SS 349;Dazio (Folgaria) SS. 349;C
197;30021601;SP 216 sv Cappella;Cappella - Dazio svincolo Cappella - S.S. 349;0;0,148;;;C
297;30021602;SP 216 sv Dazio;Cappella - Dazio svincolo Dazio - S.S. 349;0;0,059;;;C
198;30021800;SP 218;della Polsa;0;11,227;Brentonico S.P. 3 Km 8,924;Polsa fine strada;C
199;30021900;SP 219;di Camposilvano;0;11,455;S.S. 46 Km 53,200;S.S. 46 Km 45,525 Passo Pian delle Fugazze;C
200;30022000;SP 220;Mezzomonte - Serrada;0;8,87;Mezzomonte (bivio S.S. 350 Km 6,050);Serrada (bivio S.P. 2 km 19,695;C
201;30022100;SP 221;della Val Noana;0,5;6,122;Mezzano rotatoria con S.S. 50 al km 68,320;Bivio diga ENEL;C
202;30022200;SP 222;del Duron;0;11,95;Marazzone;Basso Arnò;C
203;30022201;SP 222 dir Tonello;del Duron diramazione Tonello;0;0,875;Zuclo;Tonello S.S 237 al km 87.700;C
204;30022202;SP 222 dir Spine;del Duron diramazione Spine;0;0,263;Spine;Spine S.S 237 al km 87.300;C
205;30022400;SP 224;del Redebus;0;6,3;Bedollo bivio S.P. 83;Palù del Fersina - S.P. 8;C
206;30022500;SP 225;di Santa Colomba;0;7,2;Torchio - S.P. 71;;C
207;30022800;SP 228;di Levico - Novaledo;0;17,552;Pergine;Marter in corrispondenza km 0,000 S.P. n. 65;C
208;30022801;SP 228 sv SS 47;di Levico - Novaledo svincolo S.S. 47;0;0,35;;;C
210;30022802;SP 228 sv Marter;di Levico - Novaledo svincoli Marter;0;1,015;;;C
301;30022803;SP 228 sv2 SS 47;di Levico - Novaledo svincolo 2 S.S. 47;0;0,38;;;C
309;30022804;SP 228 sv zona ind.le Novaledo;di Levico - Novaledo svincoli zona ind.le Novaledo;0;0,92;;;C
212;30022900;SP 229;Mendola - Campi da Golf;0;1,639;S.S. 42 al km 220,350;Campi da Golf;C
213;30023000;SP 230;dei Dossioli;0;6,451;S.P. 208 km 11,553 (Pra Stua);S.P. 3 Km 28,707 loc. Dossioli;C
214;30023100;SP 231;del Lusia;0;1,62;incrocio S.S. 50;Fine S.P. loc. Castellir;C
215;30023200;SP 232;di Fiemme;0;14,736;loc. Vecchia Stazione S.S. 48 km 20,350;loc. Rotonda Ziano S.S. 48 km 35,000 fine S.S.;C
216;30023201;SP 232 dir Molina;di Fiemme diramazione Molina;0;2,159;;;C
217;30023202;SP 232 dir Castello;di Fiemme diramazione Castello;0;0,207;;;C
218;30023203;SP 232 dir Cermis;di Fiemme diramazione Cermis;0;1,505;;;C
220;30023205;SP 232 dir Ziano;di Fiemme diramazione Ziano Panchià;0;0,305;;;C
221;30023300;SP 233;di Roveda;0;5,891;;;C
222;30023400;SP 234;di Pregasina;0;1,707;Biacesa (incrocio con S.S. 240 km 24,825);fine galleria;C
223;30023500;SP 235;dell'Interporto;0;17,4;;;C
224;30023501;SP 235 sv circonvallazione;dell'Interporto svincolo circonvallazione;0;0,79;;;C
294;30023502;SP 235 sv autostrada;dell'Interporto svincolo autostrada;0;0,86;;;C
225;30023600;SP 236;Spiazzo - Bocenago;0;4,486; C.a.Spiazzo S.S 239 al km 38.270;(Gal) S.S 239 al km 33.900;C
226;30023700;SP 237;della zona industriale di Scurelle;0;1,08;incrocio con S.S. 47 al km 91,860;incrocio con S.P. n. 65 km 14,166;C
227;30023800;SP 238;di Monzon;0;2,05;da bivio S.S. 48 km 56,180;S.C. 223 fine S.P.;C
228;30023900;SP 239;del Lago di Calaita;0;8,7;incrocio con  S.P. n. 79;Rifugio Calaita;C
229;30023901;SP 239 dir;del Lago di Calaita diramazione Prade;0;5,255;Mureri incrocio con S.P. 239 al km 2,455;Incrocio con S.P. n. 79 al km 8,528;C
230;30024000;SP 240;del Cermis;0;4,15;;;C
231;30024100;SP 241;di Riccomassimo;0;4,6;;;C
232;30024200;SP 242;di Val di Bondone;0;1,417;;;C
233;30024300;SP 243;del Cirè;0;2,268;località Cirè;Ponte Regio Pergine;C
236;30024301;SP 243 dir Cirè;ex S.S. 47 della Valsugana diramazione Cirè;0;0,51;;;C
237;30024302;SP 243 dir zona ind;ex S.S. 47 della Valsugana diramazione zona industriale;0;0,16;;;C
238;30024303;SP 243 dir Doss Roda;ex S.S. 47 della Valsugana diramazione Doss della Roda;0;0,5;;;C
239;30024400;SP 244;della zona industriale di Borgo Valsugana;0;1,258;;;C
284;30024500;SP 245;di Santa Massenza;0;1,08;;;C
292;30024600;SP 246;del Celado;0;9,5;;;C
320;30024800;SP 248;di Salter;0;4,187;Malgolo;Romeno;C
336;30024900;SP 249;di Ponte Arche - Stenico;0;2,75;Ponte Arche (SP 33 km 0.100);Stenico (SP 33 dir);C
323;30025000;SP 250;di Valfloriana;0;6,4;SP 71 loc. Casatta;Bait del Manz;C
324;30025100;SP 251;di Ponte Oliveti;0;3,326;SP 214;SP 84;C
327;30025200;SP 252;di Montesover;0;2,1;SP 83;Montesover;C
328;30025201;SP 252 dir Piani;Di Montesover diramazione Piani;0;0,236;SP 252;;C
330;30025300;SP 253;di Transacqua;0;0,44;rotatoria SS 50;;C
331;30025400;SP 254;della Rupe;0;0,654;rotatoria SP 235;rotatoria 90 3° tronco;C
335;30025500;SP 255;di Lavis;0;1,519;Rotatoria SP 235;Lavis rotatoria SS 12;C
337;30025600;SP 256;Trento sud Ravina;0;1,024;innesto SS 12;innesto SP 90 II tronco;C
339;30025700;SP 257;di Grigno Centro;0;0,568;SS 47;SP 60;C
240;30240000;Dep C2;accesso depuratore C 2;0;0,5;;;Z
241;30241000;Dep C3;accesso depuratore C 3;0;0,575;;;Z
242;30242000;Dep Mezzana;accesso depuratore Mezzana;0;0,472;;;Z
243;30243000;Dep Malè;accesso depuratore Malè;0;0,235;;;Z
244;30244000;Scuola sport Tonale;Scuola sport Tonale e Altoporto;0;0,668;;;Z
245;30245000;Dep Levico;accesso depuratore Levico;0;0,275;;;Z
246;30246000;Dep Lavarone;accesso depuratore Lavarone;0;0,629;;;Z
247;30247000;Dep Carbonare;accesso depuratore Carbonare;0;0,745;;;Z
248;30248000;Dep Tremalzo;accesso depuratore Tremalzo;0;0,235;;;Z
249;30249000;Dep Pieve di Ledro;accesso depuratore Pieve di Ledro;0;0,297;;;Z
291;30291000;Dep Taio;accesso depuratore Taio;0;1,3;;;Z
296;30296000;Dep Malga Laghetto;accesso depuratore Malga Laghetto;0;0,935;;;Z
306;30306000;SP ex SS 47;ex S.S. 47 della Valsugana tratto Crozi - Civezzano;0;1,8;;;C
307;30307000;Dep Calavino;accesso depuratore Calavino;0;0,8;;;Z
313;30313000;Dep Faver;accesso depuratore Faver;0;0,8;;;Z
318;30318000;Dep C3 di Pieve Tesino;accesso depuratore C 3 di Pieve Tesino;0;0,22;;;Z
346;30334600;Dep Sover;accesso depuratore di Sover;0;0,778;incrocio con SP 71 km 26,01;depuratore Sover;Z
