NOME;TIPO;STRADA;KM;INDIRIZZO;LOCALITA;SERVIZI DISPONIBILI;CODICE ISTAT LOCALITA;LINK PORTALE
NO LOGO;Benzina super senza piombo/Gasolio tradizionale/;SP 90  Km ;2,5;LOCALITA' RUPE - VIA TRENTO 68;MEZZOLOMBARDO;autoshop/lavaggio/;022117;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
NO LOGO;Benzina super senza piombo/Gasolio tradizionale/;SS 12  Km 371+300;0,5;MATTARELLO  VIA NAZIONALE 31;TRENTO;officina/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
NO LOGO;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio tradizionale/;SS 12  Km 359+110;2,7;VIA NAZIONALE 27;VOLANO;bar/;022224;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 237 Km 62+515;3,0;FRAZIONE CONDINO - LOCALITA' STAIADE;BORGO CHIESE;bar/lavaggio/parcheggio/;022238;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 45bis  Km 127+194;0,7;LOC. FIES VIA AL LAGO 10/A;DRO;bar/parcheggio/;022079;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SP 95  Km 0+500;0,5;VIA ZANDONAI;LAVIS;autoshop/lavaggio/parcheggio/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio tradizionale/;SS 240 Km 13+985;0,5;FRAZIONE NAGO - VIA RIVANA 1;NAGO-TORBOLE;albergo/bar-ristorante/parcheggio/;022124;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 42  Km 162+663;2,0;FUCINE VIA III NOVEMBRE 25;OSSANA;noleggio/officina/;022131;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 47  Km 121+900;4,0;LOC. CIRE';PERGINE VALSUGANA;bar/parcheggio/;022139;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 12  Km 351+700;0,1;LIZZANELLA VIA ABETONE 53;ROVERETO;autoshop/bar/lavaggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 45bis  Km 148+984;5,0;FRAZ. CADINE;TRENTO;autoshop/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SS 349  Km 2+913;3,0;FRAZ. VILLAZZANO VIA ASIAGO;TRENTO;parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;SS 237  Km 87+996;4,0;FRAZIONE ZUCLO - LOCALITA' TONELLO 2;BORGO LARES;;022239;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 85  Km ;6,0;FRAZ. SOPRAMONTE;TRENTO;officina/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
TOTAL;;SS 350  Km 0;12,0;S.S. 350;FOLGARIA;autoshop/bar/lavaggio/officina/;022087;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SP 71  Km 11+800;8,0;FRAZ. LASES VIA NAZIONALE 61;LONA-LASES;autoshop/bar/officina/parcheggio/;022108;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
AGIP;;SP 73  Km 9+500;7,0;FRAZIONE CUNEVO - VIA PROVINCIALE 19;CONTA';autoshop/lavaggio/;022242;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
TOTAL;Benzina super senza piombo/Gasolio tradizionale/;SS 12  Km 361+850;0,9;VIA BRENNERO 6;CALLIANO;bar/;022035;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
NO LOGO;;SS 240 Km 37+550;5,0;TIARNO DI SOTTO;LEDRO;;022229;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
NO LOGO;;SP 83  Km ;2,5;FRAZ. CAMPOLONGO;BASELGA DI PINE';officina/;022009;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
IP;;SS 42  Km 164+250;0,6;FRAZ. CUSIANO VIA MARCONI 51;OSSANA;autoshop/;022131;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SP 1  Km 4+800;0,5;CORSO ALPINI 5;CALCERANICA AL LAGO;officina/;022032;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 237  Km 99+779;0,5;FRAZIONE CALAVINO LOC. SARCHE - VIA CAFFARO 1;MADRUZZO;;022243;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SP 73  Km ;0,1;VIA DEGASPERI 5;CLES;autoshop/;022062;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 43  Km 18+900;9,0;PLAN DE CIAMPAGNA LATO OVEST;DENNO;bar/bar-ristorante/cambio gomme/;022074;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
Q8;;SS 612  Km ---;8,0;FRAZ. VERLA;GIOVO;autoshop/officina/;022092;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
