@id,@lat,@lon,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng
5148917799,45.9025339,11.0276392,Q8,Q8,Nuova Sidap S.R.L.,yes,,yes
5161606212,46.3334891,11.0260362,,Api-Ip,Leonardi Giuseppe,yes,,
5167437902,46.3115190,10.7505413,IP,Api-Ip,,yes,,
5169641920,45.7351708,10.9421926,Total,Total Erg,Perotti Mario & C. S.N.C.,,,
5169797651,46.2886578,11.5045567,IP,Api-Ip,Giacomuzzi Ernesto,,,
5169813749,46.4199221,11.6715412,IP,Api-Ip,Mattioli Giovanni,,,
5437787911,46.0998878,10.7358581,Total,Total Erg,F.lli Bonapace Manlio e Mirko S.N.C.,,,
5851837148,46.0412164,10.7268566,,Q8,Parolari Abele S.N.C. di Salvaterra Romana & C.,,,
5851838982,46.4042012,11.0185240,,Tamoil,Alessandri Antonio,,,
5851840921,46.3379582,11.6100222,,Cristoforetti,Cristoforetti S.p.A.,,yes,
5851842304,46.0678896,11.6124172,,Tamoil,Mascarello Gino,,,
5851842503,45.9393606,11.2542889,,Esso,Stenghele F.lli Snc di Stenghele Francesco Gino e C.,,,
5851842518,46.3932211,11.0631198,,Retitalia,Gentilini Luciano,,,
5851843073,46.0114005,10.7022352,,Tamoil,Rossi Lino & C. S.A.S.,,,
5853344520,45.9955209,10.9764214,,,Stazione Carburanti Pvb S.R.L.,,,
6085985411,46.3057264,11.5971248,,,Shell,,,
