Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
GIUSTINO;TRENTO;Trentino-Alto Adige;;2010;2010-07-06T18:01:56Z;454562174;10.7662946;46.1544736999999
GRIGNO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:38Z;227915073;11.666166;45.9968379999999
IMER;TRENTO;Trentino-Alto Adige;Q8;2010;2010-05-20T12:13:35Z;338894270;11.7856361;46.1453199999999
LAVARONE;TRENTO;Trentino-Alto Adige;IES;2014;2014-09-17T13:21:31Z;227777642;11.2677353;45.9409685999999
LAVIS;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:34Z;226927873;11.0873349999999;46.141578
LAVIS;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:34Z;226928193;11.0857119999999;46.140585
LAVIS;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:40Z;227889439;11.099337;46.146394
LAVIS;TRENTO;Trentino-Alto Adige;IP;2014;2014-09-17T12:42:20Z;228247325;11.1146466;46.1676907
LAVIS;TRENTO;Trentino-Alto Adige;Q8;2014;2014-09-17T13:22:43Z;227889250;11.103322;46.1552519999999
LEVICO TERME;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:30Z;227916405;11.2955451;46.0028164
LEVICO TERME;TRENTO;Trentino-Alto Adige;Esso;2010;2010-10-24T20:39:34Z;960810540;11.2895755999999;46.0041532999999
LEVICO TERME;TRENTO;Trentino-Alto Adige;IP;2014;2014-09-17T12:42:17Z;227899844;11.3572802999999;46.01925
LONA-LASES;TRENTO;Trentino-Alto Adige;Esso;2008;2008-06-09T15:00:58Z;269349968;11.2224208999999;46.1503209999999
MALE';TRENTO;Trentino-Alto Adige;Agip;2012;2012-06-25T19:23:53Z;333690834;10.9194105;46.3583611999999
MEZZANO;TRENTO;Trentino-Alto Adige;Indipend.;2014;2014-09-17T13:21:47Z;228242065;11.815474;46.156708
MEZZOCORONA;TRENTO;Trentino-Alto Adige;;2010;2010-10-26T19:00:27Z;388418756;11.1276148999999;46.2069700999999
MEZZOCORONA;TRENTO;Trentino-Alto Adige;;2011;2011-02-25T11:34:01Z;387882001;11.1232287;46.2123616
MEZZOLOMBARDO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:35Z;227024599;11.0938637999999;46.2102987999999
MEZZOLOMBARDO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:40Z;227893894;11.088811;46.2154098999999
MEZZOLOMBARDO;TRENTO;Trentino-Alto Adige;IP;2014;2014-09-17T12:42:20Z;227893895;11.1011679;46.1961246999999
MEZZOLOMBARDO;TRENTO;Trentino-Alto Adige;Q8;2015;2015-10-03T19:34:29Z;227697888;11.0877839;46.2164106
MOENA;TRENTO;Trentino-Alto Adige;Agip;2011;2011-12-09T14:17:13Z;1538159047;11.6495876;46.3666460999999
MOENA;TRENTO;Trentino-Alto Adige;Esso;2011;2011-12-09T14:17:14Z;272337349;11.6517974;46.3686743
MONCLASSICO;TRENTO;Trentino-Alto Adige;Agip;2010;2010-01-14T23:10:29Z;334821912;10.8955176999999;46.3376711
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;Dusatti;2014;2014-03-04T14:26:43Z;226912913;10.8895648;45.8785486
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;Eni;2013;2013-09-16T06:01:51Z;299649323;10.8956896;45.8779079999999
NAGO-TORBOLE;TRENTO;Trentino-Alto Adige;Shell;2013;2013-05-16T18:22:16Z;333673053;10.875463;45.8712682
OSSANA;TRENTO;Trentino-Alto Adige;;2011;2011-01-12T20:43:27Z;1100567952;10.7506051;46.3115055999999
OSSANA;TRENTO;Trentino-Alto Adige;;2015;2015-05-16T13:04:43Z;3521821507;10.750608;46.3114861999999
PEIO;TRENTO;Trentino-Alto Adige;;2012;2012-06-25T15:06:11Z;415121022;10.7065796;46.3387231999999
PEIO;TRENTO;Trentino-Alto Adige;;2014;2014-06-11T21:50:33Z;414978809;10.7008574;46.3441851999999
PELLIZZANO;TRENTO;Trentino-Alto Adige;IP;2011;2011-01-12T20:44:30Z;622616378;10.7592051;46.3113748999999
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:32Z;227899382;11.2071346999999;46.0759963
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:32Z;227901881;11.2251508;46.0685519999999
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:39Z;227587255;11.2311168;46.0581488999999
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:39Z;227916406;11.2301699999999;46.0585329999999
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;NordPetroli;2014;2014-03-04T17:10:59Z;227899697;11.2353863999999;46.0488907
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Q8;2013;2013-01-15T23:38:50Z;482893035;11.2361594999999;46.0557956
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Tamoil;2014;2014-09-17T13:36:46Z;227899378;11.2006973;46.0804544
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Tamoil;2014;2014-09-17T13:36:46Z;480010342;11.2465829;46.0649013999999
PERGINE VALSUGANA;TRENTO;Trentino-Alto Adige;Total;2014;2014-03-04T17:11:29Z;227899529;11.2350730999999;46.0451132
PIEVE DI BONO;TRENTO;Trentino-Alto Adige;;2010;2010-12-22T14:03:59Z;1056845509;10.6390134;45.9362387999999
PIEVE DI BONO;TRENTO;Trentino-Alto Adige;;2013;2013-11-23T08:01:05Z;2546470576;10.6419732;45.9438450999999
PINZOLO;TRENTO;Trentino-Alto Adige;;2014;2014-01-29T12:10:04Z;454560604;10.7657244;46.1623322
PINZOLO;TRENTO;Trentino-Alto Adige;Agip Madonna Campiglio;2011;2011-12-25T12:27:47Z;1344729806;10.826332;46.2278236
PREDAZZO;TRENTO;Trentino-Alto Adige;;2008;2008-10-11T21:41:55Z;303832111;11.5971078999999;46.3057647999999
PREDAZZO;TRENTO;Trentino-Alto Adige;Eni;2016;2016-01-18T07:13:47Z;1263354834;11.5951134;46.3046349999999
RABBI;TRENTO;Trentino-Alto Adige;IP;2010;2010-01-19T00:58:10Z;333696237;10.8618518;46.3885258999999
RIVA DEL GARDA;TRENTO;Trentino-Alto Adige;;2010;2010-05-23T19:56:51Z;746753635;10.8398755;45.8885093999999
RIVA DEL GARDA;TRENTO;Trentino-Alto Adige;;2013;2013-06-01T18:47:31Z;304025064;10.857834;45.9008235
RIVA DEL GARDA;TRENTO;Trentino-Alto Adige;Agip;2009;2009-09-09T17:39:48Z;491402658;10.847754;45.8852587
RIVA DEL GARDA;TRENTO;Trentino-Alto Adige;Api;2014;2014-09-17T12:59:40Z;227818626;10.848849;45.8939209999999
RIVA DEL GARDA;TRENTO;Trentino-Alto Adige;Q8;2010;2010-06-01T12:28:41Z;491402695;10.8551506;45.8808093999999
RONCEGNO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:38Z;227900213;11.4232665;46.0444502
RONCEGNO;TRENTO;Trentino-Alto Adige;Shell;2014;2014-03-04T17:11:15Z;221922466;11.4228045;46.0448286999999
RONCEGNO;TRENTO;Trentino-Alto Adige;Total;2015;2015-07-25T14:46:37Z;227916279;11.3951581;46.03425
ROVERE' DELLA LUNA;TRENTO;Trentino-Alto Adige;q8;2010;2010-10-31T21:24:19Z;278561988;11.1821647;46.2503652999999
ROVERETO;TRENTO;Trentino-Alto Adige;H6;2014;2014-09-17T13:21:25Z;227537335;11.001155;45.8604279999999
ROVERETO;TRENTO;Trentino-Alto Adige;Q8 Michelini;2014;2014-09-05T19:46:42Z;419251327;11.0590294999999;45.8875522
RUMO;TRENTO;Trentino-Alto Adige;;2015;2015-06-29T20:08:26Z;3625765816;11.0153238;46.4425890999999
SAN MICHELE ALL'ADIGE;TRENTO;Trentino-Alto Adige;;2012;2012-08-02T15:42:26Z;392851072;11.1190108999999;46.2037073999999
SAN MICHELE ALL'ADIGE;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:35Z;227889066;11.1270123;46.1878018999999
SANZENO;TRENTO;Trentino-Alto Adige;Repsol;2015;2015-06-11T14:33:34Z;2262103279;11.0767057;46.3676941
SARNONICO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:36Z;227646136;11.142025;46.427061
SCURELLE;TRENTO;Trentino-Alto Adige;;2015;2015-08-02T14:43:39Z;2203850300;11.5009876;46.0623538999999
SEGONZANO;TRENTO;Trentino-Alto Adige;IP;2011;2011-08-15T19:00:15Z;269349969;11.2590112999999;46.1879342
SIROR;TRENTO;Trentino-Alto Adige;;2010;2010-05-05T18:33:21Z;722739089;11.8022189;46.25251
SORAGA DI FASSA;TRENTO;Trentino-Alto Adige;;2012;2012-03-05T19:53:27Z;866792871;11.6691938;46.3985829
SORAGA;TRENTO;Trentino-Alto Adige;;2012;2012-03-05T19:53:27Z;866792871;11.6691938;46.3985829
SPIAZZO;TRENTO;Trentino-Alto Adige;Total;2009;2009-08-12T08:52:57Z;462127172;10.7360213;46.0997822
STORO;TRENTO;Trentino-Alto Adige;;2010;2010-05-29T09:38:09Z;755815895;10.574298;45.8517524
STORO;TRENTO;Trentino-Alto Adige;;2010;2010-05-29T09:39:14Z;755816457;10.5575639999999;45.848491
TAIO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:35Z;227024651;11.0624993;46.3359199
TAIO;TRENTO;Trentino-Alto Adige;Esso;2014;2014-03-04T17:10:41Z;227893897;11.0642248999999;46.3293781
TELVE;TRENTO;Trentino-Alto Adige;;2015;2015-06-02T20:19:33Z;2611293430;11.4826276;46.0693221
TIONE DI TRENTO;TRENTO;Trentino-Alto Adige;;2012;2012-08-03T16:37:29Z;1850151225;10.7266475;46.0381599999999
TIONE DI TRENTO;TRENTO;Trentino-Alto Adige;Autofficina Valentini;2014;2014-09-17T13:35:53Z;2378444346;10.7243277;46.0306554
TONADICO;TRENTO;Trentino-Alto Adige;;2010;2010-05-19T23:34:53Z;740162698;11.8315714;46.1819951
TRANSACQUA;TRENTO;Trentino-Alto Adige;Esso;2009;2009-01-29T10:48:11Z;338894272;11.8260378;46.1723792
TRENTO;TRENTO;Trentino-Alto Adige;;2011;2011-04-18T20:24:43Z;1250419842;11.1270390999999;46.0076814
TRENTO;TRENTO;Trentino-Alto Adige;;2014;2014-03-04T17:11:42Z;867652450;11.1162566;46.0702608
TRENTO;TRENTO;Trentino-Alto Adige;;2014;2014-03-04T17:11:43Z;985533541;11.1165231;46.0701885
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2011;2011-07-26T11:13:23Z;1374579624;11.1376817;46.0480248
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:31Z;227024610;11.1128785;46.042292
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:32Z;227024606;11.040627;46.0796909999999
TRENTO;TRENTO;Trentino-Alto Adige;Agip;2014;2014-03-04T14:26:32Z;227024637;11.1218942;46.0807338999999
