tripId,delay
0003170822019091220200610,0.0
0003164292019091220200610,0.0
0003164332019091220200610,0.0
0003164372019091220200610,0.0
0003165372019091220200610,0.0
0003165382019091220200610,0.0
0003165392019091220200610,-1436.0
0003165402019091220200610,0.0
0003165412019091220200610,0.0
0003165432019091220200610,0.0
0003165422019091220200610,0.0
0003165512019091220200610,0.0
0003164542019091220200610,0.0
0003164482019091220200610,0.0
0003164622019091220200610,0.0
0003164522019091220200610,0.0
0003164782019091220200610,0.0
0003145772019091220200610,-1.0
0003145902019091220200610,0.0
0003153682019091220200610,0.0
0003153692019091220200610,0.0
0003145702019091220200610,0.0
0003145712019091220200610,0.0
0003145722019091220200610,0.0
0003153872019091220200610,0.0
0003165442019091220200610,0.0
0003165462019091220200610,0.0
0003165472019091220200610,0.0
0003165482019091220200610,0.0
0003165492019091220200610,0.0
0003165502019091220200610,0.0
0003165522019091220200610,0.0
0003165532019091220200610,9.0
