tripId,delay
0003165582019091220200610,0.0
0003164712019091220200610,0.0
0003146962019091220200610,0.0
0003164332019091220200610,0.0
0003164342019091220200610,0.0
0003164352019091220200610,0.0
0003164362019091220200610,0.0
0003164372019091220200610,0.0
0003164382019091220200610,0.0
0003164392019091220200610,0.0
0003170902019091220200610,0.0
0003165372019091220200610,-1.0
0003165382019091220200610,0.0
0003165392019091220200610,-1440.0
0003164992019091220200610,0.0
0003164842019091220200610,0.0
0003151172019091220200610,0.0
0003165432019091220200610,0.0
0003165342019091220200610,0.0
0003165132019091220200610,0.0
0003165002019091220200610,0.0
0003165422019091220200610,0.0
0003165352019091220200610,0.0
0003165202019091220200610,0.0
0003170912019091220200610,0.0
0003165512019091220200610,0.0
0003167912019091220200610,0.0
0003154232019091220200610,8.0
0003173392019091220200610,0.0
0003155332019091220200610,0.0
0003155342019091220200610,0.0
0003152022019091220200610,0.0
0003148762019091220200610,0.0
0003152092019091220200610,0.0
0003148772019091220200610,0.0
0003152032019091220200610,0.0
0003148782019091220200610,0.0
0003152102019091220200610,0.0
0003148792019091220200610,0.0
0003152042019091220200610,0.0
0003148802019091220200610,0.0
0003152052019091220200610,0.0
0003147502019091220200610,0.0
0003148812019091220200610,0.0
0003148282019091220200610,0.0
0003148292019091220200610,0.0
0003146942019091220200610,0.0
0003151512019091220200610,0.0
0003151272019091220200610,0.0
0003151522019091220200610,0.0
0003151282019091220200610,0.0
0003151532019091220200610,0.0
0003151292019091220200610,0.0
0003151542019091220200610,0.0
0003151302019091220200610,0.0
0003151552019091220200610,0.0
0003151312019091220200610,0.0
0003151562019091220200610,0.0
0003151322019091220200610,0.0
0003151572019091220200610,0.0
0003151332019091220200610,0.0
0003148832019091220200610,0.0
0003163592019091220200610,0.0
0003163602019091220200610,0.0
0003163612019091220200610,-1436.0
0003164462019091220200610,0.0
0003164472019091220200610,0.0
0003164602019091220200610,0.0
0003164482019091220200610,0.0
0003164612019091220200610,0.0
0003164492019091220200610,0.0
0003164622019091220200610,0.0
0003164502019091220200610,0.0
0003164632019091220200610,0.0
0003164512019091220200610,0.0
0003164642019091220200610,0.0
0003164522019091220200610,0.0
0003164652019091220200610,0.0
0003164532019091220200610,0.0
0003164782019091220200610,0.0
0003170932019091220200610,0.0
0003155562019091220200610,0.0
0003155572019091220200610,0.0
0003145772019091220200610,0.0
0003145782019091220200610,0.0
0003145842019091220200610,0.0
0003145852019091220200610,0.0
0003145802019091220200610,1.0
0003145872019091220200610,3.0
0003145862019091220200610,0.0
0003155542019091220200610,0.0
0003155552019091220200610,0.0
0003155532019091220200610,0.0
0003145932019091220200610,0.0
0003145942019091220200610,0.0
0003145952019091220200610,0.0
0003146732019091220200610,0.0
0003145972019091220200610,0.0
0003146752019091220200610,0.0
0003146002019091220200610,0.0
0003146012019091220200610,0.0
0003144432019091220200610,0.0
0003144682019091220200610,0.0
0003144442019091220200610,0.0
0003144692019091220200610,0.0
0003144452019091220200610,0.0
0003144702019091220200610,0.0
0003144462019091220200610,0.0
0003144712019091220200610,0.0
0003144472019091220200610,0.0
0003144722019091220200610,0.0
0003144482019091220200610,0.0
0003144732019091220200610,0.0
0003144492019091220200610,0.0
0003144742019091220200610,0.0
0003144502019091220200610,0.0
0003145172019091220200610,0.0
0003145182019091220200610,0.0
0003145192019091220200610,-1432.0
0003149992019091220200610,0.0
0003163052019091220200610,0.0
0003150152019091220200610,0.0
0003163392019091220200610,0.0
0003149862019091220200610,0.0
0003163542019091220200610,0.0
0003150002019091220200610,0.0
0003163192019091220200610,0.0
0003150162019091220200610,0.0
0003163402019091220200610,0.0
0003149872019091220200610,0.0
0003163552019091220200610,0.0
0003150012019091220200610,0.0
0003163202019091220200610,0.0
0003150172019091220200610,0.0
0003163412019091220200610,0.0
0003149882019091220200610,0.0
0003163562019091220200610,0.0
0003150022019091220200610,0.0
0003163212019091220200610,0.0
0003150182019091220200610,0.0
0003163422019091220200610,0.0
0003149892019091220200610,0.0
0003163572019091220200610,0.0
0003150032019091220200610,0.0
0003163222019091220200610,0.0
