stopId,stopCode,stopName,stopDesc,stopLat,stopLon,zoneId,wheelchairBoarding,routes,distance,type,locality,street,streetNumber,town,postalCode,province,stopLevel
13,22015x,"Gardolo ""Materna Paludi""",,46.103846,11.108235,10110,2,"[{'routeId': 402, 'agencyId': 12, 'routeShortName': '7', 'routeLongName': 'Canova Melta Piazza Dante Gocciadoro', 'routeType': 3, 'routeColor': '0A9B86', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 424, 'agencyId': 12, 'routeShortName': '11', 'routeLongName': 'Spini Di Gardolo Via Brennero P.Dante', 'routeType': 3, 'routeColor': '582E79', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 539, 'agencyId': 12, 'routeShortName': '4', 'routeLongName': 'Gardolo Roncafort Stazione V.Deg. Mad.Bianca', 'routeType': 3, 'routeColor': '007BC3', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,"Gardolo ""Materna Paludi""",,Trento,38121,TN,60
14,21220-,Centro Commerciale,,46.091584,11.105652,10110,0,"[{'routeId': 424, 'agencyId': 12, 'routeShortName': '11', 'routeLongName': 'Spini Di Gardolo Via Brennero P.Dante', 'routeType': 3, 'routeColor': '582E79', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Centro Commerciale,,Trento,38122,TN,60
15,21105z,Asiago S.Bartolameo,,46.047972,11.137456,10110,1,"[{'routeId': 541, 'agencyId': 12, 'routeShortName': '6', 'routeLongName': 'Vela P.Dante Villazzano Grotta', 'routeType': 3, 'routeColor': '70B442', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Asiago S.Bartolameo,,Trento,38123,TN,60
16,21100x,Asiago Banala,,46.047681,11.137741,10110,1,"[{'routeId': 536, 'agencyId': 12, 'routeShortName': '1', 'routeLongName': 'Ospedale P.Dante Sopramonte', 'routeType': 3, 'routeColor': '1D3F72', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 541, 'agencyId': 12, 'routeShortName': '6', 'routeLongName': 'Vela P.Dante Villazzano Grotta', 'routeType': 3, 'routeColor': '70B442', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Trento,Asiago Banala,,Trento,38123,TN,60
17,24015x,"Cognola ""Toresela""",,46.078904,11.153473,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,"Cognola ""Toresela""",,Trento,38121,TN,60
18,24015z,"Cognola ""Toresela""",,46.078863,11.153929,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,"Cognola ""Toresela""",,Trento,38121,TN,60
19,24025x,Cognola Bivio Civezzano,,46.080613,11.158419,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,,Cognola Bivio Civezzano,,Trento,38121,TN,60
22,24030z,Cognola Grezoni,,46.075911,11.146833,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Cognola,Cognola Grezoni,,Trento,38121,TN,60
23,24030x,Cognola Grezoni,,46.076012,11.146613,10110,2,"[{'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Cognola,Cognola Grezoni,,Trento,38121,TN,60
25,24035x,Cognola S.Vito,,46.075696,11.140797,10110,2,"[{'routeId': 400, 'agencyId': 12, 'routeShortName': '5', 'routeLongName': 'Piazza Dante P.Fiera Povo Oltrecastello', 'routeType': 3, 'routeColor': 'F5C500', 'routeTextColor': '000000', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 406, 'agencyId': 12, 'routeShortName': '9', 'routeLongName': 'P.Dante S.Don�\xa0 Cognola Villamontagna', 'routeType': 3, 'routeColor': '8B4E2B', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 408, 'agencyId': 12, 'routeShortName': '10', 'routeLongName': 'P.Dante Martignano Cognola / Montevaccino', 'routeType': 3, 'routeColor': '0A5543', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}, {'routeId': 484, 'agencyId': 12, 'routeShortName': '16', 'routeLongName': 'Centochiavi Martignano Cognola Povo', 'routeType': 3, 'routeColor': '3564B1', 'routeTextColor': 'FFFFFF', 'type': 'U', 'areaId': 0, 'news': None}]",,U,Cognola,Cognola S.Vito,,Trento,38121,TN,60
