"consumption","name","eco_fuel","energySource","engine_type"
12.749003984063746,"Aston Martin Lagonda V8 Vantage, MY2011",0,"Petrol","Hatchback & Convertible"
12.749003984063746,"Aston Martin Lagonda V8 Vantage, MY2013 onwards",0,"Petrol","Coupé & Convertible"
8.261617900172118,"Aston Martin Lagonda Vanquish",0,"Petrol","Vanquish"
12.749003984063746,"Aston Martin Lagonda Vanquish, MY2013 onwards",0,"Petrol","Coupé"
12.749003984063746,"Aston Martin Lagonda Virage MY2012",0,"Petrol","Coupé & Convertible"
12.749003984063746,"Aston Martin Lagonda Virage, MY2012",0,"Petrol","Coupé & Convertible"
12.749003984063746,"Aston Martin Lagonda Zagato, from August 2012",0,"Petrol","Coupé"
12.749003984063746,"Audi A1",0,"Petrol","1.2 TFSI 86PS Stop-Start"
12.749003984063746,"Audi A1 Sportback",0,"Petrol","1.2 TFSI 86PS Stop-Start"
22.641509433962263,"Audi A2 (Standard, SE & Sport)",0,"Petrol","1.4 (75 PS)"
12.749003984063746,"Audi A2 SE",0,"Petrol","1.4 (75 PS)"
12.749003984063746,"Audi A2 Sport",0,"Petrol","1.4 (75 PS)"
12.749003984063746,"Audi A2 Standard",0,"Petrol","1.4 (75 PS)"
12.749003984063746,"Audi A3",0,"Petrol","1.8 TFSI 160PS"
17.486338797814206,"Audi A3 (S, SE, Sport) From 2003",0,"Petrol","1.6 FSI (115 PS)"
12.749003984063746,"Audi A3 (S,SE, Sport,quattro)",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 (from NOV 06 Wk 45 >)",0,"Petrol","1.6 102ps"
12.903225806451614,"Audi A3 (quattro) From 2003",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 Cabriolet",0,"Petrol","1.8 TFSI 160PS"
12.749003984063746,"Audi A3 S",0,"Petrol","1.6 FSI (115 PS)"
12.749003984063746,"Audi A3 S line",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 SE",0,"Petrol","1.6 FSI (115 PS)"
12.749003984063746,"Audi A3 Sport",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 Sportback",0,"Petrol","1.8 TFSI 160PS"
12.749003984063746,"Audi A3 Sportback (from NOV 06 Wk 45 >)",0,"Petrol","1.6 102ps"
12.749003984063746,"Audi A3 Sportback S",0,"Petrol","1.6 FSI (115 PS)"
12.749003984063746,"Audi A3 Sportback S line",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 Sportback SE",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A3 Sportback Sport",0,"Petrol","3.2 V6 quattro (250 PS)"
12.749003984063746,"Audi A4 Allroad",0,"Diesel","2.0 TDI quattro 177PS 7speed S-Tronic Stop-Start"
12.749003984063746,"Audi A4 Avant",0,"Petrol","2.0 TDI 140ps"
12.213740458015266,"Audi A4 Avant (Standard, SE &amp; Sport)",0,"Petrol","2.0 FSI (150 PS)"
12.749003984063746,"Audi A4 Avant (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps"
12.749003984063746,"Audi A4 Avant S line",0,"Petrol","1.6 MPI (102 PS)"
12.749003984063746,"Audi A4 Avant SE",0,"Petrol","1.6 MPI (102 PS)"
12.749003984063746,"Audi A4 Saloon",0,"Petrol","1.8 TFSI 120PS"
12.32349165596919,"Audi A4 Saloon (Standard, SE & Sport)",0,"Petrol","2.0 FSI (150 PS)"
12.749003984063746,"Audi A4 Saloon (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps"
12.749003984063746,"Audi A4 Saloon DTM EDITION",0,"Petrol","2.0 TFSI quattro (220 PS)"
12.749003984063746,"Audi A4 Saloon S line",0,"Petrol","1.6 MPI (102 PS)"
12.749003984063746,"Audi A4 Saloon SE",0,"Petrol","1.6 MPI (102 PS)"
12.749003984063746,"Audi A5 Cabriolet",0,"Petrol","1.8 TFSI 170PS Multitronic"
12.749003984063746,"Audi A5 Coupé",0,"Petrol","1.8 TFSI 170PS"
12.749003984063746,"Audi A5 Sportback",0,"Diesel","2.0 TFSI 211PS"
12.749003984063746,"Audi A6 Allroad",0,"Diesel","3.0 TDI quattro V6 204PS 7speed S-Tronic"
12.749003984063746,"Audi A6 Avant",0,"Diesel","2.0 TFSI 170ps"
10.457516339869281,"Audi A6 Avant  (SE & Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)"
9.533267130089374,"Audi A6 Avant  (SE &amp; Sport)",0,"Petrol","2.5 V6 (163 PS)"
12.121212121212121,"Audi A6 Avant  (Standard, SE & Sport)",0,"Petrol","1.9 TDI PD (130 PS)"
10.798650168728908,"Audi A6 Avant (Available From July 2001)",0,"Petrol","1.9 TDI (130 bhp)"
13.694721825962912,"Audi A6 Avant (Standard, SE &amp; Sport)",0,"Petrol","1.9 TDI (130 PS)"
12.749003984063746,"Audi A6 Avant (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps"
9.430255402750491,"Audi A6 Avant RS6",0,"Petrol","4.2 V8 quattro (450 PS)"
12.749003984063746,"Audi A6 Avant S line",0,"Petrol","2.0 TDI (140 PS)"
12.749003984063746,"Audi A6 Avant SE",0,"Petrol","2.0 TDI (140 PS)"
12.749003984063746,"Audi A6 Avant SE & S line",0,"Petrol","2.0 TDI (140 PS)"
12.749003984063746,"Audi A6 Saloon",0,"Diesel","2.0 TFSI 170ps"
10.561056105610561,"Audi A6 Saloon  (SE & Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)"
9.580838323353294,"Audi A6 Saloon  (SE &amp; Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 PS)"
12.213740458015266,"Audi A6 Saloon  (Standard, SE & Sport)",0,"Petrol","1.9 TDI PD (130 PS)"
11.678832116788321,"Audi A6 Saloon ( from June 2004 )",0,"Petrol","2.4 V6 (177 PS)"
10.798650168728908,"Audi A6 Saloon (Available From July 2001)",0,"Petrol","1.9 TDI (130 bhp)"
13.793103448275863,"Audi A6 Saloon (Standard, SE &amp; Sport)",0,"Petrol","1.9 TDI (130 PS)"
12.749003984063746,"Audi A6 Saloon (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps"
9.430255402750491,"Audi A6 Saloon RS6",0,"Petrol","4.2 V8 quattro (450 PS)"
12.749003984063746,"Audi A6 Saloon S line",0,"Petrol","2.0 TDI (140 PS)"
12.749003984063746,"Audi A6 Saloon SE",0,"Petrol","3.0 TDI V6 quattro Tiptronic (225 PS)"
12.749003984063746,"Audi A6 Saloon SE & S line",0,"Petrol","2.0 TDI (140 PS)"
12.749003984063746,"Audi A7",0,"Petrol","2.8 V6 FSI 204PS quattro S-Tronic"
12.749003984063746,"Audi A7 Sportback",0,"Diesel","3.0 V6 TDI 204PS 8speed Multitronic"
9.33852140077821,"Audi A8",0,"Petrol","4.2 V8 quattro (335 PS)"
12.749003984063746,"Audi A8 (from NOV 06 Wk 45 >)",0,"Petrol","3.0 V6 TDI 233ps quattro Tiptronic"
12.749003984063746,"Audi A8 Hybrid",0,"Petrol Hybrid","2.0 TFSI  210PS 8speed S-Tronic LWB"
12.749003984063746,"Audi Allroad",0,"Diesel","3.0 V6 TDI 233ps quattro"
12.749003984063746,"Audi Allroad (from NOV 06 Wk 45 >)",0,"Petrol","3.0 V6 TDI 233ps quattro"
8.711433756805807,"Audi Audi 'S' Quattro Series",0,"Petrol","S3 1.8 T Quattro 210bhp"
9.151572926596758,"Audi Audi 'S' Series",0,"Petrol","New S4 4.2 V8 (344 PS) quattro Avant"
21.71945701357466,"Audi Audi A2 (Standard & SE)",0,"Petrol","1.4 (75 bhp)"
22.641509433962263,"Audi Audi A2 (Standard, SE & Sport)",0,"Petrol","1.4 (75 bhp)"
14.523449319213315,"Audi Audi A3 (3 & 5 door Sport Quattro)",0,"Petrol","1.8T Quattro (180 bhp)"
13.933236574746008,"Audi Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",0,"Petrol","1.6 (102 bhp)"
13.259668508287291,"Audi Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",0,"Petrol","1.6 101bhp"
15.483870967741934,"Audi Audi A3 (3 & 5 door, Standard SE & Sport)",0,"Diesel","1.9 TDI  (100 bhp)"
15.141955835962145,"Audi Audi A3 (3 & 5 door, Standard, SE & Sport)",0,"Petrol","1.6 (102 bhp)"
15.141955835962145,"Audi Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",0,"Petrol","1.6 (102 PS)"
12.151898734177216,"Audi Audi A4 (S, SE & Sport)",0,"Petrol","3.0 V6 Quattro (220 bhp)"
17.97752808988764,"Audi Audi A4 (Saloon, Avant & SE)",0,"Diesel","1.9 TDI 115 bhp"
11.594202898550726,"Audi Audi A4 (Saloon, Avant, SE, Sport & Quattro)",0,"Petrol","1.6 101bhp"
12.213740458015266,"Audi Audi A4 Avant  (Standard, SE & Sport)",0,"Petrol","1.9 TDI (130 PS)"
12.32349165596919,"Audi Audi A4 Saloon (Standard, SE & Sport)",0,"Petrol","1.9 TDI (130 PS)"
13.81294964028777,"Audi Audi A6 (Saloon, Avant & Quattro)",0,"Diesel","2.5 V6 TDI Quattro 180 bhp"
9.6579476861167,"Audi Audi A6 (Saloon, Avant, SE & Quattro)",0,"Petrol","1.8 T 150bhp"
10.0418410041841,"Audi Audi A6 Avant (SE, Sport & Quattro)",0,"Petrol","2.4 V6 Quattro (165 bhp)"
10.13727560718057,"Audi Audi A6 Saloon (SE, Sport & Quattro)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)"
9.6579476861167,"Audi Audi A8 (Sport, Quattro & Quattro Sport)",0,"Petrol","2.8 V6 193bhp"
10.13727560718057,"Audi Audi A8 (Standard & Sport)",0,"Petrol","2.8 V6 Quattro (194 bhp)"
