,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
25,227832734,46.149841200000004,11.735175300000002,Tamoil,Tamoil,La Fornace di Orsingher Elena & C. S.N.C.,,,,"Trattoria La Fornace, Strada Provinciale 79 del Brocon, Col dei Betteghe, Canal San Bovo, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
26,227887801,46.11269420000001,11.106843199999998,Esso,Esso,Drigo Maria,,,,"Esso, Via Bolzano, Piazzina, Gardolo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
27,227887993,46.0490256,11.475307199999998,IES,Gnp,Gruppo Nord Petroli S.R.L.,yes,yes,,"IES, Strada Statale 47 della Valsugana, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
28,227889066,46.1878019,11.1270123,Agip,Agip Eni,N.E.W. Agip di Nardon Walter & C. S.A.S.,yes,yes,,"Agip, Via Nazionale, Grumino, Maso Betta, San Michele all'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
29,227889250,46.155252000000004,11.103322,Q8,Q8,Calovi Fulvio,,,,"Q8, Via Nazionale, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
30,227889439,46.146394,11.099337,Esso,Esso,Lumi S.R.L.,,,,"Esso, Strada Statale dell'Abetone e del Brennero, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
31,227893703,46.347362,11.079692800000002,Repsol,Repsol,Pancheri Maria Luisa,,,,"Repsol, SP7, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
32,227893894,46.2154099,11.088811,Esso,Esso,Dalla Torre Lucia,,,,"Esso, Via IV Novembre, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
33,227893897,46.3293781,11.064224900000001,Esso,Esso,Mendini D. S.R.L.,,yes,,"Esso, Strada Statale della Val di Non, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
34,227895559,46.003614299999995,11.1263029,Esso,Esso,Aemme S.A.S. di Ficarra Adriano & C.,,,,"Esso, Via Nazionale, Maso Pez, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38128, Italia"
35,227899382,46.0759963,11.2071347,Agip,Agip Eni,Banali Renzo e C. S.N.C.,,yes,,"Agip, Strada Statale 47 della Valsugana, Maso Popper, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
36,227899529,46.0451132,11.2350731,Total,Total Erg,Casagrande di Casagrande Marco e C. S.N.C.,,yes,,"Total, Strada Statale 47 della Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
37,227899697,46.0488907,11.2353864,NordPetroli,Gnp,Gruppo Nord Petroli S.R.L.,,,,"NordPetroli, Statale Valsugana, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
38,227900213,46.04445020000001,11.423266499999999,Esso,Esso,Esso,,,,"Maso Vazzena, Larganza, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, Italia"
39,227901881,46.068552000000004,11.2251508,Agip,Agip Eni,Oasi Service S.A.S. di Di Bartolo Rocco & C.,,,,"Agip, Via al Dos dela Roda, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
40,227912463,46.075679,10.995958,Esso,Esso,Esso,,,,"Esso, 4, Via Nazionale, Vallelaghi, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
41,227912596,46.0469494,10.9515657,Q8,Q8,Servizi & Gestioni Italia Srl,,,,"Q8, SS237, Madruzzo, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38076, Italia"
42,227912815,46.036361,10.864213000000001,Total,Total,Total,,,,"Benzina, Via G. Marconi, Comano Terme, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38077, Italia"
43,227915073,45.996838000000004,11.666166,Esso,Esso,Esso,,,,"Esso, Strada Statale 47 della Valsugana, Belvederi di Tezze, Casa Vescovo, Grigno, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38055, Italia"
44,227916004,46.0508176,11.485182,IP,IP,IP,yes,,,"IP, SS47, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
45,227916140,46.0513415,11.4844751,Esso,Esso,Molinari S.A.S. di Molinari Massimo & C.,yes,yes,,"Esso, 2, Località Prai da Brenta, Ceggio, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
46,227916279,46.0342872,11.3951273,Total,Gnp,Gruppo Nord Petroli S.R.L.,,,,"Total, SS47, Bazzanella, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, Italia"
