"lat","lon"
46.4246144,11.6830415
46.2832082,11.5578352
46.0738909,11.150734
46.048781,11.1458646
46.2136633,11.1161139
46.0566668,11.1198774
46.1219502,11.1056501
45.8909225,11.1519814
46.1314536,11.240981
46.1496788,11.2771882
46.0967804,11.2365962
45.914349,11.03592
45.8923276,11.0332987
46.3114194,11.6036795
45.8974176,11.0453053
46.042257,11.229298
46.0392285,11.2377746
45.884095,10.8442067
46.0657617,11.1369812
46.3260963,11.6003408
46.0194576,11.1052848
46.0711498,11.1859042
46.0849859,11.2139962
46.0197351,11.1081153
46.0167312,11.107074
46.0117962,11.1054751
46.2185971,11.1185413
46.0157401,11.1058067
46.0178342,11.1074459
46.0191315,11.1049504
46.0912926,11.166438
46.1320334,11.1416544
46.0602984,11.1581485
45.9213019,11.1324253
45.9174989,11.1672252
45.9178816,11.1923022
45.9179937,11.1921289
46.0693213,11.0753258
46.0506544,11.0693111
46.0501616,11.0679544
46.0482336,11.0650441
46.042956,11.0639996
46.04453,11.0609104
46.041543,11.0601782
46.4625666,11.8370806
46.4167618,11.6784942
46.4291788,11.6948672
46.1434999,10.8032819
45.9077386,10.84333
45.9086252,10.8481497
45.8915631,10.8444782
45.8562433,10.9276642
45.8542265,10.9351715
46.1193524,10.8072479
45.925265,10.837631
46.1260598,11.1802289
45.9224621,10.7859529
45.9135375,11.0398093
45.8618843,10.9921505
46.3118031,11.60519
46.3117128,11.6001145
46.3079559,11.5982428
46.1741181,11.2181197
46.3108389,11.59735
46.3040079,11.5934995
45.7593623,11.0023325
46.3112302,11.6167082
46.3768374,11.6717705
46.4215107,11.6790054
46.3937031,11.6661583
46.4654024,11.7175378
45.8711761,10.9033335
46.0115808,11.2975256
45.8736609,10.8672005
45.8960136,10.8443798
45.8999475,10.8438276
45.9011468,10.8447659
45.8959923,10.84747
45.9021947,10.8465664
46.2615788,11.8006003
46.407694,10.8065198
46.3530544,10.9114937
46.3583001,10.9232835
45.7595702,11.1718256
45.7598836,11.1722397
46.3147242,10.8124015
46.3144009,10.8114763
46.3023218,10.8116503
46.2320806,10.826736
46.2259703,10.8277507
46.3023308,10.8103807
46.3016854,10.8100907
46.3531472,10.9140893
46.3507996,10.9104975
46.3826369,10.9723889
46.0855611,11.2149941
46.199498,11.8678771
46.1169694,10.7503927
45.8942586,10.8463518
45.9139938,10.8416025
46.3952835,11.1455252
46.0106028,11.2868859
46.0407011,11.1547436
45.8811862,11.0700112
45.8842683,11.0729994
45.9041372,11.0524069
46.2117505,11.1280772
46.2170435,11.1079429
46.2171622,11.1156484
46.3001415,11.4483496
46.0428813,11.1800111
45.8525324,11.1266651
45.8911945,11.1505516
46.1679044,10.7139394
46.1969326,11.1312706
46.1827592,11.1378997
46.1808118,11.1656331
46.1868985,11.1611898
46.3096491,10.7614072
46.3509655,10.6943395
46.3520496,10.6913806
46.3110451,10.7312029
46.3196677,10.8268137
46.0602218,11.2387989
46.1316279,11.247274
46.0341344,11.2209538
46.0346599,11.2207628
46.1205246,10.7533262
46.0319614,11.2266181
45.9711854,11.2234435
46.0043589,11.6125499
46.0431537,11.0379627
45.7585266,11.1707524
45.9130913,11.188164
46.0449176,11.128464
46.0492362,11.1295803
46.153066,10.7358747
46.1027049,10.7395921
46.1027901,10.7389657
46.1669305,10.6663561
46.1612108,10.7382018
46.012053,11.2967343
45.892526,10.8498673
46.0877144,10.9101562
46.1665583,10.6606292
46.1668129,10.6620264
46.0889357,10.8863487
45.7946869,11.096408
45.928801,11.284583
46.0010145,11.0855518
46.141173,10.7395877
46.1355814,11.3233208
46.0596202,11.2401594
45.9240138,10.8861214
45.8495978,10.5796352
45.861553,10.6416741
45.8492989,10.5784307
46.08432,11.3166519
46.0367436,10.8729899
45.8700148,10.7721199
45.8563255,10.8299411
46.1549459,11.8072416
46.1742042,11.2210888
46.1753,11.2203223
45.9260597,10.7176279
45.842796,10.5842328
46.1656869,11.2341186
46.0120288,11.2976771
46.2958913,11.7758616
46.3021361,11.7577977
46.0742917,11.1351433
46.3441348,10.9022864
46.4376285,11.2159353
46.4234793,11.1774556
46.4245451,11.1784126
46.4498543,11.1620227
46.3191032,10.9615118
45.905285,10.8436333
46.3310576,10.8783195
46.3318402,10.8833707
46.351521,10.9110477
46.3536346,10.9167464
46.3711617,10.9520116
45.8524186,11.0108788
46.0089084,11.3020489
46.4012911,10.8450993
46.3726424,10.8791377
46.3558217,10.6632109
46.358176,10.6670401
46.3503509,10.9101653
46.2975795,11.7892994
45.9278122,11.1185037
45.927764,11.1183292
46.4419565,11.17735
46.1346061,11.3249471
46.0919065,11.1831543
46.0528889,11.4103962
46.0467552,11.4210979
45.9651751,10.9734442
45.820419,10.9579027
46.0338423,10.8704895
46.153347,11.8112558
45.8728528,10.5201981
46.151651,11.7976348
46.1519522,11.7966991
46.4300524,11.6865386
46.066398,11.321503
45.9316479,11.0884631
46.2888502,11.5136375
46.4772023,11.765985
46.4583003,11.7979655
46.4307714,11.6878623
46.1482785,11.7968144
46.0191736,10.6209098
46.0217654,10.6130198
45.8545276,10.5683622
46.2238956,11.8909266
45.8297009,10.5361562
45.8299344,10.536946
46.0946628,11.0719601
46.0345553,10.8902779
45.832419,10.8924387
46.3953639,11.1484655
45.9604545,10.9330214
45.9308301,10.9055556
46.0787657,11.2791273
46.1825498,10.7583682
46.2130216,10.7540479
45.7582861,11.1767165
45.757864,11.1778775
45.7580889,11.1700647
45.9207012,11.0224641
46.3211036,11.7804984
46.1201329,10.7512912
46.0683074,11.1166789
45.8506694,10.9767955
46.1609041,11.5286561
45.9191582,10.8623017
46.0257591,11.2308067
45.90034,10.9436095
46.1337182,11.8807016
46.4172338,11.7192397
46.4175933,11.723473
46.4139782,11.7292801
46.4145296,11.7286661
46.4209346,11.7036868
46.3475142,10.9223886
46.0537057,10.8733498
45.9414809,11.2524162
46.0995481,11.1191634
46.2671093,11.4035987
46.2775255,11.4138637
46.2781534,11.4518663
46.0042716,11.2853642
46.0264204,11.2306374
46.0393269,11.3003273
46.3399169,10.6191088
46.1164724,10.8085346
46.0735052,11.1202903
46.0717438,11.1212006
45.9691003,11.2324529
45.9691224,11.2326918
45.9694794,11.232859
46.0663402,11.175215
45.9650467,11.2951358
45.8511646,10.8262843
46.089796,10.8861262
46.0316319,10.7236637
46.2231427,11.2654796
45.9009955,10.9479018
45.9071288,10.9772632
46.0687663,11.120282
46.2627423,11.3393327
46.20062,11.2793836
46.2133799,11.0931804
46.1664967,11.1103536
46.1663904,11.110227
46.1669777,11.1109378
46.1664183,11.1096221
46.0711105,11.1186686
46.0712863,11.118968
46.0724418,11.1197144
46.1750513,11.2228752
46.1750028,11.2206798
46.2407232,11.8181449
46.3655522,11.0335151
46.3656312,11.0332977
46.3658052,11.0334923
46.3646517,11.0346424
46.3645496,11.0334048
46.3635268,11.0358175
46.3629062,11.0358898
46.3642393,11.0359466
46.3643977,11.0359402
46.3638005,11.0317902
46.3643912,11.0332569
46.3629817,11.0310931
46.2442319,11.0581282
46.24382,11.0587772
46.2437207,11.0589524
46.2628345,11.0596582
46.2415591,11.0613625
46.0935769,11.1206537
45.9168716,11.0666405
46.071727,11.1190917
45.9763316,10.9390568
45.938185,10.9694344
45.9900635,10.9258718
46.066918,11.1261254
46.0720856,11.1245143
46.0626388,11.1220375
46.0632596,11.1215002
46.1784952,11.2261761
46.0688074,11.1205915
46.3023242,10.8100127
46.3021624,10.8126675
46.0657296,11.1245326
46.314625,10.8154892
46.3136747,10.8085439
46.3481956,10.9090705
46.3157983,10.8014506
46.3197006,10.8744817
46.3156057,10.7973426
46.3525892,10.9132543
46.35271,10.9135282
46.1069712,11.3033504
46.1054756,11.2996258
46.2573708,11.0349766
46.0784953,11.2776634
46.0787005,11.2776358
46.0707145,11.1217479
46.193806,11.1280652
46.1938438,11.1280304
46.1857897,11.0214059
46.1682269,11.0053807
46.1571717,10.9792975
46.2368248,11.0527462
46.3519844,11.0622336
46.3410282,11.0536647
46.3517414,11.0622289
46.1413208,11.0861738
46.1412323,11.0880069
46.1425763,11.0864819
46.1411347,11.0873974
46.1422125,11.0862111
46.190201,11.1340918
46.2148356,11.0970977
46.2154799,11.0970043
46.2156013,11.096928
46.2149011,11.0968724
46.1668323,11.1132208
46.1666639,11.1128159
46.0692684,11.1222994
46.215754,11.1214901
46.049802,10.7712542
46.0507298,10.7748732
46.0533511,10.777266
46.0580597,10.7936611
46.2167732,11.0934059
46.2163525,11.0959127
46.0414009,10.7308694
46.04468,10.7523061
46.3025214,11.7349864
46.066143,11.1185679
46.3842893,11.7959958
46.2652608,11.0860668
46.272544,11.0910127
46.2740402,11.090579
46.2468648,11.0679162
46.3844817,11.7970955
46.2134272,11.0887568
46.2163095,11.0876329
46.2165666,11.0873249
46.283685,11.4368818
46.2143309,11.0898368
46.2344159,11.0442774
46.2343968,11.0448394
46.2346687,11.0449946
46.2113468,11.0933042
45.8870487,10.8789923
46.0867857,11.1201705
46.0920309,11.1188227
46.0861992,11.1212249
46.0870528,11.1208621
46.0891582,11.1219139
46.0879381,11.1214703
46.088551,11.1210716
46.0588971,11.1248018
46.0596779,11.1239993
46.10792,11.1046065
46.1378536,11.1075501
46.1379017,11.1079258
46.3082476,11.0749941
46.2675178,11.0571015
46.0830206,11.1214312
46.0845297,11.1227423
46.0716406,11.1193351
45.8399119,11.111079
46.2663456,11.0854051
46.2656599,11.0891859
46.2387497,11.0612153
46.2662358,11.0853107
46.2139026,11.0929247
46.073756,11.1319398
46.0915403,11.1163738
46.0718578,11.1212879
46.0916007,11.1166081
46.0577875,11.1331063
46.0579892,11.1330374
46.0029907,11.2825231
46.0655384,11.5242016
46.1851393,11.0356266
46.2655853,11.085886
46.0444062,10.9427896
46.1641486,11.1115127
46.2399712,11.0615878
46.0656955,11.1239165
46.1412612,11.1073679
46.1412786,11.1069115
46.1413706,11.1066582
46.0458343,11.0654012
46.1657754,11.10874
46.1647333,11.1075837
46.1655444,11.1066163
46.1664895,11.1093521
46.165233,11.1064097
46.1656387,11.1074654
46.1654379,11.1066747
46.164974,11.1068202
46.165785,11.1073151
46.1664561,11.109838
46.5006243,11.7913238
45.8768008,10.8691371
46.0510456,10.8538677
46.051155,10.8518914
46.0529161,10.8533211
46.0546425,10.8480314
46.1841137,11.0261674
46.1837613,11.0285198
46.1842922,11.029202
46.1850905,11.0213814
46.1858421,11.0325264
46.1859972,11.0400719
46.181347,11.0208921
46.1813778,11.0204651
46.1828551,11.0199874
46.2107439,11.0908126
46.2107873,11.0909864
46.2119183,11.0897946
46.0709622,11.0599124
46.0318684,11.045565
46.0328916,11.047238
46.040944,11.0584899
46.0427116,11.0618106
46.046571,11.0638287
46.0479822,11.0654799
46.0493026,11.0677381
46.0679926,11.1264464
46.0497042,11.0737672
46.0686552,11.0771793
46.0688192,11.0565476
46.0699071,11.0772607
46.4183023,10.9878151
46.0514486,11.1241647
45.8873087,11.0626773
46.2141678,11.0491113
46.2144583,11.0487927
46.2183356,11.0481354
46.1760234,11.0691614
46.1777898,11.0712538
45.9170951,11.0605232
45.9171175,11.0610167
45.9114241,11.0838476
45.915555,11.060617
45.9159875,11.0602099
45.8959707,10.8809211
46.059381,11.1184933
46.4826168,11.1484818
45.9177238,11.0662279
45.9101954,10.6124143
45.9127492,10.6145458
46.1932819,11.2603058
45.912963,10.6125729
46.140755,11.1092907
46.300892,10.8081766
46.0384716,11.0588626
46.0481025,11.0636316
46.2094712,11.0947193
46.2097683,11.094673
46.2099204,11.0942405
46.2124262,11.0915719
46.2159283,11.0878941
45.9555797,10.6511906
45.956135,10.6513573
45.9995462,10.6954666
46.3385048,11.799884
46.2133994,11.0899852
46.217569,11.8777187
46.0596667,11.2482097
45.9118633,10.603446
45.9142372,10.6033823
46.3203788,11.0659084
46.3205424,11.0657942
46.3206598,11.0665743
46.3224959,11.0671217
46.1023161,11.1167443
46.1025354,11.1161585
46.2372442,11.0529022
46.2374187,11.053092
46.2198075,11.0489843
46.2649822,11.0862937
46.2481744,11.0688071
46.1674596,11.1101877
46.0893362,11.0631404
46.142266,10.9617966
46.142601,10.9627889
46.1413274,10.9645691
46.1444716,10.9652236
46.1438185,10.9664826
46.1412411,10.9655519
46.1412906,10.9638178
46.1424209,10.964037
46.1430872,10.9656906
46.1432662,10.9664416
46.1432804,10.9666432
46.2182365,11.0474188
45.9338254,11.2294791
46.3658789,11.6486608
46.2585294,11.0854795
46.2079261,11.0960838
46.3802435,11.1047757
46.0686936,11.1171138
46.3458526,11.059521
46.3463058,11.0589606
46.337013,11.0617293
46.337899,11.0635302
46.3387587,11.0635717
46.3210439,11.0655823
46.3210729,11.0652115
46.2600294,11.0475439
46.2743078,11.0510823
46.2648627,11.0865059
46.3922976,11.1369804
46.0891949,11.1203262
46.0893497,11.1206378
46.0897504,11.1208452
46.0994742,11.118341
46.0624962,11.1254555
46.0800654,11.1303938
46.081207,11.1292391
46.3940622,11.6664969
46.3955827,11.6657616
46.3966433,11.6695896
46.285172,11.0382275
46.2993348,11.0310756
46.1646711,11.1123568
46.0645326,11.11991
46.065394,11.1196815
46.1260956,11.1931678
46.1305942,11.2038642
46.1006172,11.1016029
