"stop_id","name","latitude","longitude","wheelchairBoarding","address"
2919,"Volano Via Spiazze",45.915721,11.051424,2,"Volano Via Spiazze"
127,"Cembra",46.175121,11.222045,0,"Cembra"
2928,"Porte Chiesa",45.883422,11.053319,2,"Porte Chiesa"
2929,"Porte Via Al Brentegam",45.881067,11.053138,2,"Via al Brentegam"
2931,"Dosso",45.881357,11.054807,2,"Dosso"
2932,"Porte Chiesa",45.883185,11.053713,2,"Porte Chiesa"
2933,"Porte Via Al Brentegam",45.880931,11.052683,2,"Porte Via Al Brentegam"
2935,"Dosso",45.881524,11.054598,2,"Dosso"
2936,"Sp.89 Maso Brentegam",45.880439,11.050882,2,"Sp.89 Maso Brentegam"
2989,"Marco Nord",45.849668,11.012629,2,"Marco Nord"
2848,"Campana Dei Caduti",45.874381,11.040911,0,"Campana Dei Caduti"
2849,"Marco Parco Ex De Bellat",45.843722,11.007151,2,"Marco Parco Ex De Bellat"
2851,"Marco Via S.Romedio",45.845955,11.004526,2,"Marco Via S.Romedio"
2853,"Mori Stazione",45.860603,11.001714,2,"Mori Stazione"
2863,"Viale Schio",45.883599,11.043713,0,"Viale Schio"
2865,"Viale Zugna",45.88447,11.047001,0,"Viale Zugna"
2866,"Viale Zugna",45.884452,11.047161,0,"Viale Zugna"
2868,"Viale Zugna 48",45.884347,11.049429,0,"Viale Zugna 48"
2869,"Via Magazol Viale Trento",45.899299,11.041955,1,"Via Magazol Viale Trento"
2870,"Ss.240 'Alla Staffa'",45.87282,11.024167,2,"Via del Garda"
2874,"Via Fornaci 'Texbond'",45.859392,11.005003,2,"Via Fornaci 'Texbond'"
2875,"Via Fornaci 'Dana'",45.854746,11.004438,2,"Via Fornaci 'Dana'"
2884,"Via Bellini",45.899265,11.044679,0,"Via Bellini"
2887,"Genovesa",45.882907,11.06255,2,"Genovesa"
2890,"Noriglio Via Jacob",45.883773,11.067597,2,"Noriglio Via Jacob"
2893,"Calepina Liceo",46.067092,11.124949,2,"Calepina Liceo"
2895,"Cisterna Capolinea",45.883114,11.08731,2,"Cisterna Capolinea"
2898,"Viale Schio S.Maria",45.884693,11.043501,2,"Viale Schio S.Maria"
2902,"Viale Caproni 'Chizzola'",45.86831,11.021991,2,"Viale Caproni 'Chizzola'"
2915,"Via Dell'artigiano",45.864405,11.017806,0,"Via Dell'artigiano"
2918,"Gabbiolo Capolinea",46.055511,11.149102,2,"Gabbiolo Capolinea"
2922,"Viale Dei Colli Bertolda",45.888345,11.051602,2,"Viale dei Colli"
2925,"Spini Palazzine",46.116627,11.099962,2,"Spini Palazzine"
2960,"Cadine Voltei",46.086301,11.068646,2,"Cadine Voltei"
2968,"Pomarolo S.Antonio",45.933993,11.047844,2,"Pomarolo S.Antonio"
2969,"Pomarolo S.Antonio",45.933955,11.047819,2,"Pomarolo S.Antonio"
5,"S.Michele A/Adige",46.193684,11.132524,0,"S.Michele A/Adige"
6,"Salorno-Salurn",46.240611,11.208106,0,"Salorno-Salurn"
8,"Egna-Neumarkt",46.315973,11.272452,0,"Egna-Neumarkt"
9,"Cela-Aguai Bivio",46.291364,11.418721,0,"Cela-Aguai Bivio"
12,"Cavalese-Bivio Carano",46.287417,11.441664,0,"Cavalese-Bivio Carano"
13,"Cavalese-Hotel Garden",46.289269,11.448069,0,"Cavalese-Hotel Garden"
15,"Cavalese-Piazza G.Verdi",46.290334,11.460692,0,"Piazza Scopoli"
16,"Cavalese-Autostaz.",46.287908,11.463237,0,"Cavalese-Autostaz."
17,"Tesero-Giardino Dolomiti",46.292465,11.484695,0,"Tesero-Giardino Dolomiti"
18,"Tesero-Loc. Piera",46.292226,11.492126,0,"Tesero-Loc. Piera"
20,"Panchià-Casa Cantoniera",46.287144,11.53192,0,"Panchià-Casa Cantoniera"
21,"Panchia'",46.285513,11.541747,0,"Panchia'"
24,"Predazzo-Borgo Nuovo",46.306538,11.598956,0,"Predazzo-Borgo Nuovo"
25,"Predazzo-Autostaz.",46.30952,11.604929,0,"Predazzo-Autostaz."
27,"Predazzo-Impianti Latemar",46.32866,11.600173,0,"Predazzo-Impianti Latemar"
2937,"Via Fornaci Via Pineta",45.864979,11.006182,2,"Via Fornaci Via Pineta"
544,"Facendi",46.214915,11.321421,0,"Facendi"
2939,"Funivia-Staz. di Valle-Trento",46.069625,11.115641,2,"Lungadige Monte Grappa"
2940,"Funivia-Staz. di Monte-Sardagna",46.065992,11.102655,2,"Funivia-Staz. di Monte-Sardagna"
2945,"Mattarello Rozola",46.012737,11.132184,2,"Mattarello Rozola"
2947,"Mattarello Regole",46.011059,11.131736,2,"Mattarello Regole"
2948,"Mattarello Regole",46.01121,11.131632,2,"Mattarello Regole"
2951,"Mattarello 'Torre Franca'",46.006579,11.131078,2,"Mattarello 'Torre Franca'"
2952,"Mattarello 'Torre Franca'",46.005932,11.129955,2,"Mattarello 'Torre Franca'"
2954,"Mattarello Sud",46.002729,11.126221,1,"Mattarello Sud"
2961,"Centa Brennero",46.075664,11.124036,1,"Centa Brennero"
2964,"Via Cipressi",45.870184,11.032805,0,"Via Cipressi"
2965,"Stadio Quercia",45.901209,11.036378,0,"Stadio Quercia"
2971,"Melta 'Case Itea'",46.102287,11.118256,1,"Melta 'Case Itea'"
2979,"Via Magazol Via Cimarosa",45.899889,11.039718,2,"Via Magazol Via Cimarosa"
2982,"Viale Del Lavoro 'Rovercenter'",45.863835,11.026975,2,"Viale Del Lavoro 'Rovercenter'"
2983,"Via Pasqui",45.89967,11.037306,0,"Via Pasqui"
2988,"Marco Nord",45.849547,11.012708,2,"Marco Nord"
28,"Mezzavalle",46.337678,11.610035,0,"Mezzavalle"
33,"Moena-Piazza Ramon",46.37659,11.659822,0,"Moena-Piazza Ramon"
36,"Soraga",46.396748,11.669557,0,"Soraga"
38,"S.Giovanni di Fassa",46.421216,11.682022,0,"S.Giovanni di Fassa"
39,"Pozza di Fassa",46.427261,11.682917,0,"Pozza di Fassa"
42,"Mazzin di Fassa",46.457958,11.701369,0,"Mazzin di Fassa"
43,"Campestrin",46.462994,11.715177,0,"Campestrin"
45,"Campitello di Fassa",46.476657,11.74117,0,"Campitello di Fassa"
47,"Canazei-Gries",46.477899,11.763966,0,"Canazei-Gries"
48,"Canazei-Via Pareda",46.476193,11.770875,0,"Canazei-Via Pareda"
49,"Canazei-Fun. Belvedere",46.474083,11.774376,0,"Canazei-Fun. Belvedere"
52,"Alba di Canazei",46.461948,11.783003,0,"Alba di Canazei"
53,"Alba di Canazei-Fun.Ciampac",46.459388,11.786093,0,"Alba di Canazei-Fun.Ciampac"
59,"Penia",46.457907,11.791109,0,"Penia"
61,"Alba di Canazei",46.462156,11.782952,0,"Alba di Canazei - Centro - Dir. Penia"
63,"Canazei-Fun. Belvedere",46.474069,11.774728,0,"Canazei-Fun. Belvedere"
64,"Canazei-Gries",46.477765,11.764662,0,"Canazei-Gries"
66,"Campitello di Fassa",46.476626,11.740973,0,"Campitello di Fassa"
67,"Fontanazzo",46.469607,11.726995,0,"Fontanazzo"
69,"Cavalese-Via Esterle",46.293121,11.457264,0,"Cavalese-Via Esterle"
70,"Cavalese-Hotel Garden",46.289336,11.447864,0,"Cavalese-Hotel Garden"
71,"Laghetti-Laag",46.272132,11.238775,0,"Via Statale 12"
73,"Lavis",46.136494,11.109859,0,"Lavis"
538,"Montesover",46.217084,11.327086,0,"Montesover"
549,"Sorni Bivio",46.174975,11.122031,0,"Sorni Bivio"
2992,"Via Del Garda Via Porte Rosse",45.872836,11.02889,2,"Via Del Garda Via Porte Rosse"
2994,"Clinica Solatrix",45.89799,11.045512,0,"Clinica Solatrix"
2996,"Via Unione Via Zotti",45.886361,11.023197,2,"Via Unione Via Zotti"
1,"Trento-Autostaz.",46.070785,11.118461,0,"Trento-Autostaz."
3,"Trento-Bren Center",46.091322,11.115664,0,"Trento-Bren Center"
82,"Lavis-Via Cembra 16",46.143208,11.106619,0,"Lavis Cembra"
84,"Lavis-Tornante-Via Cembra 50",46.141935,11.114444,0,"Lavis-Tornante-Via Cembra 50"
85,"Maso Franch",46.143816,11.118841,0,"Maso Franch"
86,"Mosana-Loc. Ai Castagnari",46.150492,11.12574,0,"Mosana-Loc. Ai Castagnari"
88,"Verla",46.157055,11.152529,0,"Via Rizzol"
89,"Verla-Cantina Rossi",46.154873,11.155408,0,"Verla-Cantina Rossi"
90,"Valternigo",46.16079,11.15879,0,"Valternigo"
91,"Ville di Giovo",46.165785,11.157341,0,"Ville di Giovo"
93,"Passo Croce",46.161487,11.134622,0,"Passo Croce"
94,"Palu' di Giovo",46.158215,11.140403,0,"Palu' di Giovo"
95,"Verla-Bivio",46.155898,11.160681,0,"Verla-Bivio"
96,"Ceola",46.159677,11.171453,0,"Ceola"
103,"Faver Bivio",46.180959,11.231881,0,"Faver Bivio"
104,"Faver",46.181716,11.237795,0,"Faver"
107,"Valda-Capitello",46.207069,11.262068,0,"Valda-Capitello"
108,"Valda",46.206784,11.266464,0,"Valda"
110,"Grauno",46.229415,11.298255,0,"Grauno"
112,"Capriana",46.262789,11.339456,0,"Capriana"
113,"Capriana-Albergo Miravalle",46.262057,11.343992,0,"Capriana-Albergo Miravalle"
114,"Carbonare-Rover",46.266757,11.351746,0,"Carbonare-Rover"
116,"Molina di Fiemme-Scuole",46.272941,11.417697,0,"Molina di Fiemme-Scuole"
118,"Molina di Fiemme-Scuole",46.274181,11.416707,0,"Molina di Fiemme-Scuole"
119,"Castello di Fiemme-Conc.Fiat",46.278941,11.430137,0,"Castello di Fiemme-Conc.Fiat"
121,"Castello di Fiemme",46.281233,11.434752,0,"Castello di Fiemme"
124,"Grumes",46.221405,11.294192,0,"Grumes"
125,"Faver",46.181189,11.236672,0,"Faver"
129,"Ceola",46.159589,11.170867,0,"Via Nazionale"
130,"Verla",46.157152,11.15281,0,"Verla"
131,"Lavis-Via Bresadola",46.143962,11.112745,0,"Lavis-Via Bresadola"
138,"Barcatta",46.250421,11.349659,0,"Barcatta"
139,"Villaggio Italo-Svizzero",46.247854,11.346661,0,"Villaggio Italo-Svizzero"
140,"Dora'",46.251863,11.355635,0,"Dora'"
142,"Casanova di Sicina",46.241992,11.349809,0,"Casanova di Sicina"
143,"Valle",46.238605,11.351281,0,"Valle"
144,"Montalbiano",46.234426,11.355133,0,"Montalbiano"
145,"Sicina",46.230004,11.358752,0,"Sicina"
539,"Montesover-Strada Vernera",46.218166,11.326641,0,"Montesover-Strada Vernera"
595,"Piazze di Bedollo",46.155636,11.288077,0,"Piazze di Bedollo"
768,"Borzago",46.098857,10.734738,0,"Borzago"
853,"Preore-Loc. Signor",46.044911,10.752913,0,"Preore-Loc. Signor"
953,"Roncogno",46.069354,11.20732,0,"Roncogno"
101,"Fadana",46.177555,11.225071,0,"Fadana"
126,"Fadana",46.178185,11.22599,0,"Viale B. Bonfanti"
540,"Montesover-Strada Vernera 17",46.217389,11.324145,0,"Montesover-Strada Vernera 17"
542,"Sveseri Bivio",46.20764,11.327808,0,"Sveseri Bivio"
546,"Sover",46.223891,11.312418,0,"Sover"
548,"Nave S.Felice",46.164603,11.112269,0,"Nave S.Felice"
552,"Nave S.Felice",46.166611,11.112923,0,"Nave S.Felice"
559,"Milon",46.285862,11.479729,0,"Milon"
561,"Masi-Piccolo Bar",46.28336,11.48331,0,"Masi-Piccolo Bar"
563,"Masi-Via Chiesa Civ.118",46.284431,11.489109,0,"Masi-Via Chiesa Civ.118"
565,"Cavalese-Case Itea",46.289556,11.469413,0,"Cavalese-Case Itea"
566,"Carano-Via Giovanelli 11",46.292292,11.44266,0,"Carano-Via Giovanelli 11"
567,"Carano-Municipio",46.292221,11.440488,0,"Carano-Municipio"
569,"Carano-Via Giovanelli",46.289849,11.438591,0,"Carano-Via Giovanelli"
570,"Carano-Garnì Belvedere",46.287392,11.435856,0,"Carano-Garnì Belvedere"
574,"Villaggio Veronza-Via Pale",46.288769,11.43145,0,"Villaggio Veronza-Via Pale"
575,"V.Veronza-H.Veronza",46.289865,11.433202,0,"V.Veronza-H.Veronza"
580,"Pinè Bivio",46.081905,11.19497,0,"Pinè Bivio"
581,"Sille",46.086063,11.202932,0,"Sille"
