name,address,id,bikes,slots,totalSlots,position/0,position/1
Centro Intermodale,Stazione / via Dante Alighieri 69,Centro Intermodale - Pergine Valsugana,0,6,6,46.06283953962371,11.232342992868098
Madrano,Via Oltrefersina 153,Madrano - Pergine Valsugana,0,0,0,46.0838504717494,11.219184817335531
Tegazzo,Via Tegazzo fr. civ. 10,Tegazzo - Pergine Valsugana,0,0,0,46.06131044875352,11.243516084620978
