name,address,id,bikes,slots,totalSlots,position/0,position/1
Borgata,Piazza San Gottardo,Borgata - Mezzocorona,1,11,12,46.21475054941156,11.118409916007977
Cavalleggeri,"Via Cavalleggeri, 19",Cavalleggeri - Mezzocorona,1,11,12,46.215938768425005,11.119989353442406
Stazione TN-MALE',Piazza Trento,Stazione TN-MALE' - Mezzocorona,5,12,18,46.20734740002011,11.128130419326794
