name,address,id,bikes,slots,totalSlots,position/0,position/1
Grazioli,Piazza Grazioli - Lavis,Grazioli - Lavis,3,7,10,46.139732902099794,11.111516155225331
Pressano,Piazza della Croce - Pressano,Pressano - Lavis,2,5,7,46.15368174037716,11.106601229430453
Stazione RFI,Via Stazione - Lavis,Stazione RFI - Lavis,3,7,10,46.148180371138814,11.096753997622727
