name,address,id,bikes,slots,totalSlots,position/0,position/1
Fiera,via Cavalleggeri Udine 1,Fiera - Mezzolombardo,1,11,12,46.21606936512313,11.087786176482382
Ospedale San Giovanni,Via Carducci,Ospedale San Giovanni - Mezzolombardo,1,11,12,46.21259623820249,11.094625366934224
Stazione TN-MALE',"Via San Francesco, 4",Stazione TN-MALE' - Mezzolombardo,2,3,5,46.2134060415138,11.093330302516165
