@id,@lat,@lon,name
427963788,46.0444043,11.1306452,
428803371,46.1408289,11.1076826,Sartori
434444556,46.0742154,11.1246636,
443690863,46.1458965,11.0956285,Fontana Gomme
443703627,46.0939924,11.1137085,Car Glass
514889105,45.9036025,10.8640317,Bertamini
534651228,45.9125930,10.8576816,Garda Gomme
544516072,46.1283884,11.1054461,Carrozzeria Largher
556932210,46.0639973,11.1503938,Autodelta Di Zordan Romeo
657844108,45.9086001,10.8686942,Doctor Glass
660174900,46.0795919,11.1224761,Doctor Glass
663426458,46.1122266,11.2105280,
739372070,46.1504061,11.7928160,
748789593,45.9127529,11.0325005,Revisione autoveicoli
791057554,46.2716291,11.4141222,
902500590,45.9131683,10.9053253,Nuova Motomeccanica di Tonelli Edoardo e F.LLI Tamburini S.n.c
908778727,46.1283355,11.2385641,
1024789857,45.9183888,10.8863841,Officina Garage Centrale Zamboni
1122694098,46.1808222,11.0199669,Carrozzeria Tanel
1135856976,46.2878889,11.4453119,Autofficina di Bonelli Gabriele
1135856977,46.2879266,11.4423499,Carrozzeria Fiemme
1163218592,46.2891467,11.4524154,Autofficina Mozzini
1168688863,46.2159926,11.0923497,Officina Autoriparazioni Eccher Christian
1226778284,46.2153981,11.0891291,
1228867012,46.4430542,11.6961413,Bernard Claudio
1228867017,46.4425115,11.6959805,Carrozzeria Da Franco
1297031962,46.2151595,11.0885064,Renault
1300215308,46.0831199,11.1199659,Officina Odorizzi
1311881261,45.8760043,10.9326113,Officina Vicenzi
1319929748,46.0745336,11.1253703,Officina Zogno Paolo
1381734504,45.8714401,10.8753476,
1431679498,46.2055172,11.1185967,Postal Umberto
1437377927,46.1102445,10.7479007,Cozzio
1485432331,46.0651610,11.1187656,Officina Lorenzo
1490139826,46.0991843,11.1033113,Casa del Contachilometri
1490148453,46.1028895,11.1000055,Officina Modenese ACI
1504576616,46.0337794,11.1319253,Bimotor - Officina
1540613800,46.2717263,11.4185718,Dondio
1552323108,46.0730621,11.0580159,Officina Tecnomotor
1552580070,46.1158113,11.0922730,Autronic
1552591631,46.1155882,11.0925091,Automotive Specialist
1671796753,46.2074248,11.1243737,Ribiani
1732692921,46.1308694,11.2457474,
1732692996,46.1319720,11.2464663,Ferramenta Ioriatti Arrigo
1749737650,46.0775201,11.1191700,Carrozzeria Ronc
1784806783,46.0865497,11.1225482,Carrozzeria Sprint
1939618771,46.1331431,11.0884416,
1957347171,46.1629360,10.7567527,Officina Cereghini
2062492960,46.0649115,11.1184861,
2141763467,46.0519363,11.1190205,
2168775978,45.8972164,11.0326226,Carrozzeria Berto
2168775984,45.8972722,11.0324262,Claudio Zoner
2378441160,46.0306105,10.7243763,Officina Valentini
2418313840,46.3500518,11.0512298,Valentini
2518668844,45.7582062,11.0030304,Automoto meccanica Zomer
2556962981,46.0755480,11.1051204,Officina Tosini
2563607118,46.1030854,11.1003765,Autofficina A.B.M. s.n.c. di Manca Mario & C.
2623279963,45.8868095,11.0309484,Autofficina Santacaterina
2781112192,46.0440567,11.1494177,
2872363815,46.1464478,11.0971867,Pneus Center
2888545659,45.7825517,11.1187273,
2889100790,45.7945479,11.1069363,Zendri
2900319617,45.8535634,10.9705008,
3117135758,45.8478506,10.9850133,Carrozzeria Autofficina Vianini
3125794094,46.3302064,10.8761181,Fratelli Largaiolli
3164166965,46.0480523,11.1138959,Esso Trento Ovest
3172345044,46.0737174,11.1148299,Trapasso
3186772761,45.9311410,10.6379535,Aricocchi Autofficina
3455357930,46.3996950,11.6717980,Carrozzeria Crepaz
3455358312,46.4005559,11.6718390,Autocar Valfassa
3629033976,46.3149620,11.0692185,Gottardi
3631640025,45.8324600,10.5416754,Carrozzeria Berti
3921160266,46.0791039,11.5794285,Auto Tesino
4011676462,46.0497126,11.4464810,Autocentro 3000
4173036619,45.7554212,11.0175273,Zomer Mariano
4264444553,46.0757333,11.1194006,Astra
4264444555,46.0751131,11.1179986,Ianes
4311857901,46.1459882,11.0944909,Officina Meccanica Da Franco
4411646696,46.1557069,11.8135921,Autoriparazioni F.lli Romagna
4454998590,46.0639394,11.2304713,Peugeot
4456452996,46.0692855,11.2379465,Carrozzeria Bernardi
4528893292,46.0563091,11.2367235,Carrozzeria Avancini
4562331079,46.2897981,11.4640848,Gianmoena
4579928846,46.0612164,11.1168042,Carrozzeria Ianesselli
4596259556,46.0513688,11.4843262,
4596263125,46.0489888,11.4749589,
4596263126,46.0488238,11.4760533,
4596263403,46.0507427,11.4853793,
4769168150,46.1386687,11.1063085,Officina Ottanta
5108054464,46.1238708,11.2490293,Sighel Claudio e Nicola Riparazioni
5161606179,46.3506444,11.0286561,Autosoccorso ACI Autofficina Autoanaune
5246730785,46.1951016,11.1009833,Carrozzeria Pallanch
5269674582,45.9034070,10.8636962,Nuova Carrozzeria Appoloni
5306476354,45.9037073,10.8633485,Citroën Riparatore Autorizzato
5335231613,46.3263069,10.8679004,Aci - centro delegato
5335539704,46.0497551,11.4468258,K&G Autoriparazioni
5373036710,46.0419025,11.4171727,Autofficina Zadra
5389470228,46.2086236,11.0936596,
5400760076,46.0363684,10.8625260,Lucchesa Giuseppe
5400760077,46.0364716,10.8620765,Fenice
