@id,@lat,@lon,name
276005634,46.1279337,11.2439515,
292004245,46.0769744,11.1417490,Biblioteca Comunale Argentario
303850123,46.1921462,11.1341466,Biblioteca Comunale di San Michele all'Adige
333780905,46.3147658,10.7962657,Mezzana
343207407,46.0109924,11.3025818,Biblioteca Comunale
367891683,45.9408157,11.2707770,"Biblioteca ""Sigmund Freud"""
414997609,46.3520556,10.6917580,Biblioteca comunale
427547575,46.1426954,10.9641168,
428313995,46.0516272,11.1277538,Biblioteca Clarina
433478401,46.0604948,11.2390306,Sala Maier
513872502,45.8491507,10.5787783,Biblioteca comunale Nino Scaglia
521381052,46.1754862,11.2212842,Biblioteca Palazzo Maffei
562715384,46.1380999,11.1136361,
695806024,46.3952797,11.1210740,Biblioteca Don Fabio Fattor
721240232,46.1763325,11.8302203,Biblioteca Intercomunale Di Primiero
748783520,45.8175528,10.9540848,Biblioteca
753358186,45.8083746,10.5405423,
853802056,46.0663863,11.1305997,Il papiro
1024833672,45.9204214,10.8888687,Biblioteca di Arco
1025647117,46.0886643,11.1818205,
1122693770,46.1832646,11.0281310,Biblioteca Comunale di Cavedago
1132431839,45.9356343,11.0937547,Biblioteca di Calliano
1239897204,46.2638058,11.3384514,Casa della Lettura
1301679171,45.8852272,10.8414238,Biblioteca Comunale
1358284999,46.4766490,11.7730044,
1376673735,46.2134435,11.0916158,
1399177519,46.2485123,11.1699249,Biblioteca Comunale
1514163536,46.2651978,11.0859918,
1535886325,45.8694883,11.0732759,
1559090545,46.0643530,11.1390990,Biblioteca di Ingegneria
1607714595,46.0060602,11.1278038,Biblioteca comunale / Sede di Mattarello
1650853815,46.3372496,11.1151496,
1667631804,45.9280506,11.0705273,
1721783679,46.0627443,11.1242907,Biblioteche dell'Istituto Storico Italo-Germanico e del Centro per le Scienze Religiose
1763407352,46.2177502,11.0465207,
1809045113,46.1561601,11.7318980,Biblioteca comunale
1809162155,46.1171564,11.2074635,Biblioteca
1818019957,45.8846350,11.0083660,Biblioteca Comunale
1841408727,46.2975747,10.6952416,
1865463398,45.9409745,10.6389686,Biblioteca Comunale
2018373127,45.8885457,10.5989734,Biblioteca di Condino
2393254562,45.9917694,11.2625965,
2429632598,46.3263779,10.8757326,
2517370249,45.7566501,11.0056220,Biblioteca comunale
2627181602,46.0710611,11.4791396,Biblioteca Telve
2645775997,46.1941065,11.1361792,Biblioteca Fondazione Edmund Mach
2717171049,46.3401858,11.0458903,
2832446539,46.1672907,11.1104785,
2875736485,45.8516897,10.9750846,Biblioteca Comunale
3218898156,46.0697339,11.1208988,Archivio Storico del Comune di Trento
3218898158,46.0697350,11.1209222,Biblioteca Comunale di Trento
3292585477,46.0648792,11.1534216,Biblioteca Comunale di Trento - Sede di Povo
3383501283,46.0508326,11.4098005,Biblioteca Comunale
3928764147,46.0537073,11.4613911,Biblioteca comunale di Borgo Valsugana
4088746852,46.0603519,11.2388157,Biblioteca
4146886716,46.0631384,11.6324378,Biblioteca comunale
4220527389,45.8775052,10.8893653,Biblioteca di Nago
4255968876,45.7356753,10.9414725,
4397123470,46.0675262,11.6052936,Biblioteca Comunale
4411684296,46.1555035,11.8057467,Biblioteca
4558690082,46.1516668,11.0973501,
4572848895,46.2889202,11.4619717,
4652192981,46.0054716,11.1997259,Biblioteca Comunale Altopiano Della Vigolana
4709671406,46.0524538,11.4940679,Punto cultura
4715779117,46.1265883,11.1161227,Biblioteca di Meano
4924544965,46.0626921,11.1152767,Gino Tomasi
5769107553,45.8956362,10.7176529,
5825275393,46.0175587,10.9450448,
6537210750,46.0786378,11.0004923,Biblioteca comunale Vallelaghi
6735477026,46.0973843,11.0451693,
