@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
437381164,46.4292795,11.6247394,,,,,,,,,,,,Passo-Jouf Zigolade 0.40 / Rif Vaiolet - Preuss Ht. 2.00 / Gardeccia 2.10 541,,,,
440669848,46.0968341,10.9039571,,,,,,,,,,,,,,,,
440669976,46.0874008,10.9047512,,,,,,,,,,,Le Mase,,,,,
440669978,46.1021135,10.9176619,,,,,,,,,,,,,,,,
440669980,46.1033790,10.9209017,,,,,,,,,,,Prada,,,,,
440681737,46.0876948,10.9099537,,,,,,,,,,,,,,,,
440681739,46.0887266,10.9110743,,,,,,,,,,,,,,,,
440681741,46.0886766,10.9112865,,,,,,,,,,,,,,,,
440681752,46.0971783,10.9205086,,,,,,,,,,,Pian de Foschera,,,,,
443861259,46.2061085,10.8698333,,,,,,yes,,,,yes,,,,,,
447883790,46.2053313,11.1825310,,,,,,,,,,,,,,,yes,
447885743,46.2094699,11.1962714,,,,,,,,,,,,,,,,
447898757,46.2031181,11.1988457,,,,,,,,,,,,,,,,
447898759,46.2010085,11.1959916,,,,,,,,,,,,,,,,
447898792,46.2058179,11.1969439,,,,,,,,,,,,,,,,
447898794,46.2048337,11.1983004,,,,,,,,,,,,,,,,
447910524,46.2157321,11.1946330,,,,,,,,,,,,,,,,
447910527,46.2159932,11.1954215,,,,,,,,,,,,,,,,
447910528,46.2161019,11.1969470,,,,,,,,,,,,,,,,
447910702,46.2197513,11.2041950,,,,,,,,,,,,,,,,
447910703,46.2210245,11.2044860,,,,,,,,,,,,,,,,
448098233,46.4725477,11.8684933,,,,,,,,,,,,,,,,
449724228,45.9465649,11.1846778,Pralongo - Cornetto di Folgaria,,,1980,,yes,,,,yes,,,,,,
449724245,45.9446034,11.1858861,Passo Sommo,,,2000,,yes,,,,yes,,,,,,
453533651,46.1531745,11.4392239,cippo1,,,,,,,,,,,,,,,
453533657,46.1327390,11.4189222,,,,,,,,,,,,,,,,
453533663,46.1351943,11.4216905,cippo n14 WWF,,,,,,,,,,,,,,,
453533668,46.1358402,11.4254744,Cippo n 12 WWF,,,,,,,,,,,,,,,
453533672,46.1393630,11.4292074,Cippo n10 WWF,,,,,,,,,,,,,,,
453533674,46.1422769,11.4333041,Cippo n9 WWF,,,,,,,,,,,,,,,
453533676,46.1434968,11.4344517,Cippo n8 WWF,,,,,,,,,,,,,,,
453560760,46.1462360,11.4363477,,,,,,,,,,,,,,,,
453628349,46.2110785,10.8436630,,,,,,,,,,,,,,,,
453628815,46.2088940,10.8720490,,,,,,,,,,,,,,,,
453628818,46.2079435,10.8688623,,,,,,,,,,,,,,,,
453629136,46.2179339,10.8481075,,,,,,,,,,,,,,,,
