@id,@lat,@lon
250326722,46.4246144,11.6830415
261664559,46.2832082,11.5578352
266156643,46.0738909,11.1507340
266179021,46.0487810,11.1458646
267649394,46.2136633,11.1161139
268810377,46.0566668,11.1198774
269014255,46.1219502,11.1056501
269027995,45.8909225,11.1519814
269125370,46.1314536,11.2409810
269139558,46.1496788,11.2771882
269195985,46.0967804,11.2365962
269429268,45.9143490,11.0359200
269440263,45.8923276,11.0332987
269954617,46.3114194,11.6036795
270097398,45.8974176,11.0453053
270252403,46.0422570,11.2292980
270448602,46.0392285,11.2377746
270673833,45.8840950,10.8442067
270721080,46.0657617,11.1369812
272337355,46.3260963,11.6003408
272762419,46.0194576,11.1052848
274233033,46.0711498,11.1859042
274899583,46.0849859,11.2139962
275986622,46.0197351,11.1081153
275988553,46.0167312,11.1070740
276691077,46.0117962,11.1054751
276713630,46.2185971,11.1185413
277085517,46.0157401,11.1058067
277087207,46.0178342,11.1074459
277087562,46.0191315,11.1049504
282421622,46.0912926,11.1664380
282793806,46.1320334,11.1416544
289245103,46.0602984,11.1581485
289578436,45.9213019,11.1324253
290884161,45.9174989,11.1672252
290936226,45.9178816,11.1923022
290936229,45.9179937,11.1921289
293333188,46.0693213,11.0753258
293333189,46.0506544,11.0693111
293333190,46.0501616,11.0679544
293333192,46.0482336,11.0650441
293333194,46.0429560,11.0639996
293333195,46.0445300,11.0609104
293333196,46.0415430,11.0601782
297368461,46.4625666,11.8370806
298603069,46.4167618,11.6784942
298686993,46.4291788,11.6948672
298876756,46.1434999,10.8032819
299263389,45.9077386,10.8433300
299654077,45.9086252,10.8481497
299801306,45.8915631,10.8444782
299805362,45.8562433,10.9276642
299805385,45.8542265,10.9351715
299924942,46.1193524,10.8072479
300642641,45.9252650,10.8376310
301238271,46.1260598,11.1802289
301457037,45.9224621,10.7859529
303383004,45.9135375,11.0398093
303384209,45.8618843,10.9921505
303820174,46.3118031,11.6051900
303825098,46.3117128,11.6001145
303827898,46.3079559,11.5982428
303947310,46.1741181,11.2181197
304017268,46.3108389,11.5973500
304052120,46.3040079,11.5934995
304070222,45.7593623,11.0023325
304076244,46.3112302,11.6167082
305510180,46.3768374,11.6717705
305724866,46.4215107,11.6790054
307449935,46.3937031,11.6661583
307659251,46.4654024,11.7175378
310890156,45.8711761,10.9033335
311847972,46.0115808,11.2975256
312162986,45.8736609,10.8672005
313067786,45.8960136,10.8443798
313384882,45.8999475,10.8438276
