Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;20/12/2014;06/01/2015;08:00;16:15;
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;07/01/2015;17/01/2015;09:30;16:15;solo i giorni di lunedç, martedç, mercoledç, giovedç e  venerdç
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;07/01/2015;17/01/2015;09:00;16:15;solo i giorni sabato e domenica
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;18/01/2015;18/01/2015;10:00;16:15;
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;19/01/2015;27/02/2015;09:30;16:15;solo i giorni di lunedç, martedç, mercoledç, giovedç e  venerdç
Soc. Altipiani Val di Non;M026f;Campi di Golf - M.ga di Mezzavia;4,5;19/01/2015;15/03/2015;09:00;16:15;solo i giorni sabato e domenica
Soc. Fun. Folgarida Marilleva;M028g;Lago Malghette - Monte Vigo;4,8;29/11/2014;12/04/2015;08:30;16:30;
Soc. Trento Funivie;M031e;Vanezze - 3 tre;3,8;29/11/2014;07/04/2015;08:45;16:45;
Soc. Fun. Fedaia Marmolada;M057m;Fedaia - Pian dei Fiacconi;;;;;;
Soc. Fun. Pinzolo;M070h;Fossadei - M.ga Cioca;3,5;28/11/2014;26/04/2015;08:30;17:00;
Soc. Fun. Madonna di Campiglio;M072h;Fontana Fevri - Monte Spinale;4,4;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Folgarida Marilleva;M076g;M.ga Panciana - Doss della Pesa;4,8;29/11/2014;12/04/2015;08:30;16:30;
Soc. Nuova Panarotta;M081d;M.ga Montagna Grande - Cima Esi;3,5;06/12/2014;06/04/2015;08:30;16:30;dal 7/1/2015 nei giorni feriali apertura ore 9.00
Soc. Paganella 2001;M094e;Meriz - M.ga di Fai;3;22/11/2014;30/01/2015;08:30;16:00;
Soc. Paganella 2001;M094e;Meriz - M.ga di Fai;3;31/01/2015;06/04/2015;08:30;16:30;
Soc. Fun. Madonna di Campiglio;M118h;Madonna di Campiglio - Patascoss;2,7;16/11/2014;30/04/2015;08:30;23:00;
Soc. Paganella 2001;M124e;M.ga Zambana - La Selletta;3;22/11/2014;30/01/2015;08:30;16:00;
Soc. Paganella 2001;M124e;M.ga Zambana - La Selletta;3;31/01/2014;06/04/2015;08:30;16:30;
Soc. Fun. Madonna di Campiglio;M132h;Calchera di boch - Vagliana;3;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Ciampac e Contrin;M144m;Roseal;2,8;20/12/2014;31/01/2015;08:45;16:30;
Soc. Fun. Ciampac e Contrin;M144m;Roseal;2,8;01/02/2015;06/04/2015;08:45;17:00;
Soc. Seggiovia Dosso della Madonna;M152l;Costa - Dosso della Madonna;2,5;18/12/2014;12/04/2015;08:30;17:00;
Soc. Impianti Falcade Col Margherita;M153m;Cima Uomo;3,3;29/11/2014;06/04/2015;09:30;16:30;apertura giornaliera prorogata alle 17/17,30 in base all'allungamento della visibilit‡
Soc. Fun. Madonna di Campiglio;M156h;C.Carlo Magno - M.ga Montagnoli;3;16/11/2014;30/04/2015;08:30;17:30;
Soc. Catinaccio Impianti a Fune;M158m;Pian Pecei - Ciampedie;3;05/12/2014;06/04/2015;08:30;16:30;
Soc. Catinaccio Impianti a Fune;M158m;Pian Pecei - Ciampedie;3;25/01/2015;06/04/2015;08:30;16:45;
Soc. Nuova Panarotta;M159d;Rifugio - Furet;1,9;06/12/2014;06/04/2015;08:30;16:30;dal 7/1/2015 nei giorni feriali apertura ore 9.00
Imprese e Territorio Soc. Cons. s.r.l.;M160b;S.Martino - M.ga Ces;3;29/11/2014;06/04/2015;08:00;16:45;
Imprese e Territorio Soc. Cons. s.r.l.;M161b;Mga Ces - M.ga Valcigolera;4;05/12/2014;06/04/2015;08:15;16:30;
Imprese e Territorio Soc. Cons. s.r.l.;M162b;M.ga Valcigolera - Cima Tognola;4;05/12/2014;06/04/2015;08:30;16:30;
S.I.T.R.;M165b;Ferrari;2,7;22/11/2014;19/04/2015;09:00;16:30;dopo il 01/02/2015 la chiusura puÚ essere posticipata alle 17
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;06/12/2014;08/12/2014;09:00;16:30;solo i giorni di sabato, domenica e lunedç
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;13/12/2014;14/12/2014;09:00;16:30;solo i giorni di sabato e domenica
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;20/12/2014;24/12/2014;09:00;16:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;26/12/2014;06/01/2015;09:00;16:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;27/12/2014;27/12/2014;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;30/12/2014;30/12/2014;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;02/01/2015;02/01/2015;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;04/01/2015;04/01/2015;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;07/01/2015;14/02/2015;14:00;16:30;solo il giorno di mercoledç
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;07/01/2015;14/02/2015;17:30;22:30;solo i giorni di martedç e venerdç
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;07/01/2015;11/03/2015;09:00;16:30;solo i giorni di sabato e domenica, esclusi giorni 15/02/2015 e 21/02/2015
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;15/02/2015;15/02/2015;08:00;16:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;16/02/2015;20/02/2015;09:00;16:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;17/02/2015;17/02/2015;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;20/02/2015;20/02/2015;20:30;22:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;21/02/2015;21/02/2015;08:00;16:30;
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;21/02/2015;11/03/2015;14:00;16:30;solo il giorno di mercoledç
Soc. Altipiani Val di Non;M167f;Monte Nock - RuffrË;2,5;21/02/2015;11/03/2015;17:30;22:30;solo i giorni di martedç e venerdç
Soc. Catinaccio Impianti a Fune;M170m;Vajolet 1;3,5;20/12/2014;24/01/2015;08:30;16:45;
