service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012019091220200626,1,1,1,1,1,1,1,20190912,20200626
0000000012019100820200626,1,1,1,1,1,1,1,20191008,20200626
0000000022019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000022019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000022019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000022019092720200626,1,1,1,1,1,1,0,20190927,20200626
0000000022019100120200626,1,1,1,1,1,1,0,20191001,20200626
0000000022019100220191130,1,1,1,1,1,1,0,20191002,20191130
0000000022019100220200626,1,1,1,1,1,1,0,20191002,20200626
0000000022019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000022019101420200626,1,1,1,1,1,1,0,20191014,20200626
0000000022019120120200329,1,1,1,1,1,1,0,20191201,20200329
0000000022019122320200411,1,1,1,1,1,1,0,20191223,20200411
0000000042019091220200610,1,1,1,1,1,0,0,20190912,20200610
0000000042019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000000042019092020200626,1,1,1,1,1,0,0,20190920,20200626
0000000042019092720200626,1,1,1,1,1,0,0,20190927,20200626
0000000042019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000000042019101020200626,1,1,1,1,1,0,0,20191010,20200626
0000000042019101420200626,1,1,1,1,1,0,0,20191014,20200626
0000000052019091220191015,1,1,1,1,1,1,0,20190912,20191015
0000000052019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000052019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000052019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000052019092120200626,1,1,1,1,1,1,0,20190921,20200626
0000000052019092620200626,1,1,1,1,1,1,0,20190926,20200626
0000000052019092820200626,1,1,1,1,1,1,0,20190928,20200626
0000000052019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000052019101620200626,1,1,1,1,1,1,0,20191016,20200626
0000000062019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000000062019091820200626,1,1,1,1,1,0,0,20190918,20200626
0000000062019091920200626,1,1,1,1,1,0,0,20190919,20200626
0000000062019092020200626,1,1,1,1,1,0,0,20190920,20200626
0000000062019092120200626,1,1,1,1,1,0,0,20190921,20200626
0000000062019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000000062019101420200626,1,1,1,1,1,0,0,20191014,20200626
0000000072019091120200626,0,0,0,0,0,0,1,20190911,20200626
0000000072019091220191019,0,0,0,0,0,0,1,20190912,20191019
0000000072019091220200626,0,0,0,0,0,0,1,20190912,20200626
0000000072019092020200626,0,0,0,0,0,0,1,20190920,20200626
0000000072019100220200626,0,0,0,0,0,0,1,20191002,20200626
0000000072019100820200626,0,0,0,0,0,0,1,20191008,20200626
0000000072019102020200626,0,0,0,0,0,0,1,20191020,20200626
0000000072019112420191208,0,0,0,0,0,0,1,20191124,20191208
0000000072019120120200329,0,0,0,0,0,0,1,20191201,20200329
0000000072019122120200329,0,0,0,0,0,0,1,20191221,20200329
0000000072019122220200329,0,0,0,0,0,0,1,20191222,20200329
0000000072019122320200329,0,0,0,0,0,0,1,20191223,20200329
0000000092019091220191015,1,1,1,1,1,1,0,20190912,20191015
0000000092019091220200626,1,1,1,1,1,1,0,20190912,20200626
0000000092019091320200626,1,1,1,1,1,1,0,20190913,20200626
0000000092019091920200626,1,1,1,1,1,1,0,20190919,20200626
0000000092019092020200626,1,1,1,1,1,1,0,20190920,20200626
0000000092019092120200626,1,1,1,1,1,1,0,20190921,20200626
0000000092019092720200626,1,1,1,1,1,1,0,20190927,20200626
0000000092019092820200626,1,1,1,1,1,1,0,20190928,20200626
0000000092019100820200626,1,1,1,1,1,1,0,20191008,20200626
0000000092019101620200626,1,1,1,1,1,1,0,20191016,20200626
0000000302019091220200626,0,0,0,0,0,0,0,20190912,20200626
0000000352019091220200626,0,0,0,0,0,0,0,20190912,20200626
0000000392019091220200626,0,1,0,1,0,1,0,20190912,20200626
0000000392019100220200626,0,1,0,1,0,1,0,20191002,20200626
0000000402019091220200626,0,0,0,0,1,0,0,20190912,20200626
0000000412019091220200626,0,0,1,0,0,0,0,20190912,20200626
0000000502019091220200626,0,0,0,1,0,0,0,20190912,20200626
0000000502019101420200626,0,0,0,1,0,0,0,20191014,20200626
0000000822019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000000822019092020200626,0,0,0,0,0,1,0,20190920,20200626
0000000822019092120200626,0,0,0,0,0,1,0,20190921,20200626
0000004512019091220200610,0,0,0,0,0,1,0,20190912,20200610
0000004512019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000004512019091920200626,0,0,0,0,0,1,0,20190919,20200626
0000004512019100820200626,0,0,0,0,0,1,0,20191008,20200626
0000004512019112420191208,0,0,0,0,0,1,0,20191124,20191208
0000004512019122120200329,0,0,0,0,0,1,0,20191221,20200329
0000004512019122220200329,0,0,0,0,0,1,0,20191222,20200329
0000005552019091220200626,0,1,1,0,1,0,0,20190912,20200626
0000005902019091220200626,1,1,1,1,1,0,0,20190912,20200626
0000005902019100820200626,1,1,1,1,1,0,0,20191008,20200626
0000005902019122420200305,1,1,1,1,1,0,0,20191224,20200305
0000005902020060920200621,1,1,1,1,1,0,0,20200609,20200621
0000006202019120820200329,1,1,1,1,1,1,0,20191208,20200329
0000006202019120820200331,1,1,1,1,1,1,0,20191208,20200331
0000006212019120820200329,0,0,0,0,0,0,1,20191208,20200329
0000006212019120820200331,0,0,0,0,0,0,1,20191208,20200331
0000006222019120820200331,1,1,1,1,1,0,0,20191208,20200331
0000006232019120820200331,0,0,0,0,0,1,0,20191208,20200331
0000006262019091220200626,0,1,0,0,1,0,0,20190912,20200626
0000006272019091220200626,0,1,0,0,0,0,0,20190912,20200626
0000006362019091220200626,0,0,0,0,1,0,0,20190912,20200626
0000006372019091220200626,1,1,1,1,0,0,0,20190912,20200626
0000006372019092120200626,1,1,1,1,0,0,0,20190921,20200626
0000006462019091220200626,0,0,0,0,0,1,0,20190912,20200626
0000006512019101420200626,1,0,0,0,0,0,0,20191014,20200626
0000006532019091220200626,1,0,0,1,0,0,0,20190912,20200626
0000006532019092020200626,1,0,0,1,0,0,0,20190920,20200626
